,dates,Price
199,2014-11-21,2063.5
200,2014-11-24,2069.42
201,2014-11-25,2067.05
202,2014-11-26,2072.83
203,2014-11-28,2067.56
204,2014-12-01,2053.44
205,2014-12-02,2066.55
206,2014-12-03,2074.33
207,2014-12-04,2071.82
208,2014-12-05,2075.37
209,2014-12-08,2060.31
210,2014-12-09,2059.82
211,2014-12-10,2026.14
212,2014-12-11,2035.32
213,2014-12-12,2002.38
214,2014-12-15,1989.63
215,2014-12-16,1972.75
216,2014-12-17,2012.88
217,2014-12-18,2061.23
218,2014-12-19,2070.65
219,2014-12-22,2078.54
220,2014-12-23,2082.17
221,2014-12-24,2081.88
222,2014-12-26,2088.77
223,2014-12-29,2090.58
224,2014-12-30,2080.34
225,2014-12-31,2058.9
226,2015-01-02,2058.2
227,2015-01-05,2020.58
228,2015-01-06,2002.58
229,2015-01-07,2025.9
230,2015-01-08,2062.12
231,2015-01-09,2044.81
232,2015-01-12,2028.56
233,2015-01-13,2023.03
234,2015-01-14,2011.28
235,2015-01-15,1992.68
236,2015-01-16,2019.41
237,2015-01-20,2022.54
238,2015-01-21,2032.13
239,2015-01-22,2063.15
240,2015-01-23,2051.82
241,2015-01-26,2057.09
242,2015-01-27,2029.56
243,2015-01-28,2002.16
244,2015-01-29,1999.74
245,2015-01-30,1994.99
246,2015-02-02,2020.86
247,2015-02-03,2050.03
248,2015-02-04,2041.51
249,2015-02-05,2062.51
250,2015-02-06,2055.47
251,2015-02-09,2046.74
252,2015-02-10,2068.58
253,2015-02-11,2068.53
254,2015-02-12,2088.48
255,2015-02-13,2096.99
256,2015-02-17,2100.34
257,2015-02-18,2099.67
258,2015-02-19,2097.45
259,2015-02-20,2110.3
260,2015-02-23,2109.65
261,2015-02-24,2115.49
262,2015-02-25,2113.86
263,2015-02-26,2110.74
264,2015-02-27,2104.5
265,2015-03-02,2117.39
266,2015-03-03,2107.78
267,2015-03-04,2098.53
268,2015-03-05,2101.04
269,2015-03-06,2071.26
270,2015-03-09,2079.43
271,2015-03-10,2044.17
272,2015-03-11,2040.24
273,2015-03-12,2065.95
274,2015-03-13,2053.4
275,2015-03-16,2081.19
276,2015-03-17,2074.2
277,2015-03-18,2099.42
278,2015-03-19,2089.28
279,2015-03-20,2108.07
280,2015-03-23,2104.42
281,2015-03-24,2091.5
282,2015-03-25,2061.05
283,2015-03-26,2056.15
284,2015-03-27,2061.02
285,2015-03-30,2086.24
286,2015-03-31,2067.89
287,2015-04-01,2059.69
288,2015-04-02,2066.96
289,2015-04-06,2081.55
290,2015-04-07,2076.32
291,2015-04-08,2080.57
292,2015-04-09,2090.71
293,2015-04-10,2101.44
294,2015-04-13,2092.98
295,2015-04-14,2096.27
296,2015-04-15,2106.96
297,2015-04-16,2105.24
298,2015-04-17,2082.22
299,2015-04-20,2100.62
300,2015-04-21,2097.87
301,2015-04-22,2107.98
302,2015-04-23,2114.51
303,2015-04-24,2118.12
