,m,st,mt,lt
0,itm,3.0065554440848774e-14,2.943872324236299e-20,1.300804712553776e-13
1,atm,8.228480693567954e-10,8.57795044572416e-13,1.3115048635227913e-12
2,otm,1.2907095687883977e-12,3.3469734594527355e-12,1.36354337765701e-11
