,models,rmse,rmsestd,r2:,r2std
0,ssviridge,0.018072136474708497,0.008845248853232818,0.8523157746540521,0.09875519955445305
1,ctridge,0.019676600984277065,0.010960710931194205,0.8065840182869044,0.059518479405636364
2,ctlasso,0.06089963661493748,0.02531988202665941,-0.6985697534133087,0.4540303983959249
3,ctenet,0.06089963661493748,0.02531988202665941,-0.6985697534133087,0.4540303983959249
4,ssvilasso,0.019086700542084358,0.008414219164494748,0.8416566639971438,0.11776449743533798
5,ssvienet,0.019086700542084358,0.008414219164494748,0.8416566639971438,0.11776449743533798
6,sridge,0.01804204138762493,0.010019848842182159,0.8424196176775063,0.079620115822901
7,slasso,0.06106621886108971,0.02523693741240134,-0.7042754075912526,0.47751043383331593
8,senet,0.06106621886108971,0.02523693741240134,-0.7042754075912526,0.47751043383331593
9,splsridge,0.017298134972471006,0.009408112002441111,0.8541397069862229,0.07958515449620054
10,splslasso,0.01733166608137972,0.009420338030593741,0.8537877185251588,0.08096568289220336
11,splsenet,0.01731167540595579,0.009412697533005315,0.8540355211773043,0.08020464864024279
12,pmridge,0.013960739526226668,0.010071189220049369,0.8904065511472926,0.05140471478648763
13,pmlasso,0.06106621886108971,0.02523693741240134,-0.7042754075912526,0.47751043383331593
14,pmenet,0.06106621886108971,0.02523693741240134,-0.7042754075912526,0.47751043383331593
15,pmplsridge,0.015588255668090564,0.012008626572709413,0.8560987170006717,0.0575894624550576
16,pmplslasso,0.015588255668090564,0.012008626572709413,0.8560987170006717,0.0575894624550576
17,pmplsenet,0.015588255668090564,0.012008626572709413,0.8560987170006717,0.0575894624550576
18,mskridge,0.014590258526986803,0.008845597432346752,0.8939097260153244,0.06131907005679822
19,msklasso,0.06106621886108971,0.02523693741240134,-0.7042754075912526,0.47751043383331593
20,mskenet,0.06106621886108971,0.02523693741240134,-0.7042754075912526,0.47751043383331593
21,mskplsridge,0.017299017563273116,0.011205814532263212,0.8373535146475688,0.050661334151148464
22,mskplslasso,0.019155008074381072,0.011231624512215972,0.8142511217033432,0.07409243405095464
23,mskplsenet,0.017993840084252744,0.0112225297651631,0.8293001325245506,0.06274967785503602
24,msknsridge,0.015629816481860917,0.00991501808459935,0.8734823744140703,0.060545032445342054
25,msknslasso,0.08554493890298268,0.023448135230563886,-2.117476354672785,2.387813344382319
26,msknsenet,0.07878032822744545,0.021793976004776245,-1.717117458523426,1.4154870646140847
27,tskridge,0.014213311027147566,0.00929325965848089,0.8946272064408692,0.0580590683340683
28,tsklasso,0.06106621886108971,0.02523693741240134,-0.7042754075912526,0.47751043383331593
29,tskenet,0.06106621886108971,0.02523693741240134,-0.7042754075912526,0.47751043383331593
30,tskplsridge,0.015742831214815244,0.010061695475636283,0.870032331983246,0.07258342260918
31,tskplslasso,0.017959653644661223,0.011260790423446127,0.8335562597342613,0.08347176242409426
32,tskplsenet,0.017016681685526863,0.0106941507768274,0.8497616656226583,0.07853936405782236
33,tsknsridge,0.016177940587359076,0.010252683604981308,0.8657807305212843,0.06515991667375329
34,tsknslasso,0.06104782084303714,0.025244388848103417,-0.7028164377283979,0.4718835140223745
35,tsknsenet,0.06104782084303714,0.025244388848103417,-0.7028164377283979,0.4718835140223745
