# lasso,plslasso,ctlasso,ssvilasso
0.000000000000000000e+00,3.387743532506166190e-236,1.125658595791430450e-272,2.303736997690071835e-200
0.000000000000000000e+00,0.000000000000000000e+00,1.098081194001064229e-03,3.269874250303897158e-34
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.154959127267700259e-199
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
