# tskridge,tskplslasso,tskplsenet
0.000000000000000000e+00,2.401048068159999474e-25,2.217535984578453476e-25
0.000000000000000000e+00,0.000000000000000000e+00,1.517359152636273772e-16
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
