# mskridge,mskplslasso,mskplsenet
0.000000000000000000e+00,8.191435341803372516e-01,2.902318853331098403e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.533302751223358007e-62
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
