,m,st,mt,lt
0,itm,0.01585800338137493,0.011341612175139931,0.014042574029386594
1,atm,0.010342662557785268,0.007488919301982814,0.00927246407513299
2,otm,0.008880814160483322,0.006618915125668984,0.009794049850321899
