,m,st,mt,lt
0,itm,2.792547979294625e-05,8.241707145148597e-08,2.374519005023875e-11
1,atm,1.2586679297442584e-07,2.348788990303553e-12,2.91805149447442e-10
2,otm,1.0991005906867554e-05,3.32445083517922e-11,6.406175381056552e-11
