# ridge,lasso,enet,plsridge,plslasso,plsenet,pmridge,pmlasso,pmenet,pmplsridge,pmplslasso,pmplsenet,mskridge,msklasso,mskenet,mskplsridge,mskplslasso,mskplsenet,tskridge,tsklasso,tskenet,tskplsridge,tskplslasso,tskplsenet
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.269857105860284774e-01,1.144819823868802322e-01,1.187120327821378218e-01,3.262815509548619517e-18,0.000000000000000000e+00,0.000000000000000000e+00,6.600193731310506629e-02,6.600193731310506629e-02,6.600193731310506629e-02,6.375278290926180350e-67,0.000000000000000000e+00,0.000000000000000000e+00,4.498625982099293294e-04,1.521577251048609815e-10,7.456025296645768242e-09,7.878006688032128534e-81,0.000000000000000000e+00,0.000000000000000000e+00,4.022843283157895300e-01,8.960413535241219807e-03,1.879342822589564754e-01
0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.287485350730575217e-04,1.839308638804185441e-04,2.218097416553976821e-94,0.000000000000000000e+00,0.000000000000000000e+00,1.200054913335953932e-01,1.200054913335953932e-01,1.200054913335953932e-01,7.673160018834247335e-44,0.000000000000000000e+00,0.000000000000000000e+00,1.958617385103017544e-05,5.047366942069755733e-18,5.803703922692754713e-15,8.323986393374023734e-75,0.000000000000000000e+00,0.000000000000000000e+00,1.878371090794864503e-23,2.648290525969969160e-03,6.539996953757996057e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.057909692493144593e-03,1.908081460024649693e-99,0.000000000000000000e+00,0.000000000000000000e+00,1.278537051715978867e-01,1.278537051715978867e-01,1.278537051715978867e-01,6.760709381339358479e-44,0.000000000000000000e+00,0.000000000000000000e+00,1.884568891264645920e-05,2.792227871666864813e-18,3.628681968044091240e-15,1.330729906279718136e-74,0.000000000000000000e+00,0.000000000000000000e+00,2.015501126322694307e-26,2.786931272452538699e-03,7.226018364005171168e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.027870095326365190e-97,0.000000000000000000e+00,0.000000000000000000e+00,1.252654330033018404e-01,1.252654330033018404e-01,1.252654330033018404e-01,7.495906555137808098e-44,0.000000000000000000e+00,0.000000000000000000e+00,1.938544037980143714e-05,3.598121643770015188e-18,4.454801439102831122e-15,1.317032671058728762e-74,0.000000000000000000e+00,0.000000000000000000e+00,2.024373587101628974e-25,2.755380293842430404e-03,6.981368218742747267e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.452572284887413556e-28,6.452572284887413556e-28,6.452572284887413556e-28,3.255229867544083555e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.483490988047778124e-51,3.001193824168308367e-75,3.751511917448506324e-72,8.484991226262015044e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.625001932868736628e-53,3.823381707670052775e-48,2.222758931536116687e-57
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,3.916174140910773871e-16,0.000000000000000000e+00,0.000000000000000000e+00,3.371718770556816963e-63,0.000000000000000000e+00,0.000000000000000000e+00,9.376297622460057476e-21,0.000000000000000000e+00,0.000000000000000000e+00,3.394025178867288904e-05,5.174185669397145769e-03,1.030992893965023728e-02
