,m,st,mt,lt
0,itm,7.266249712344813e-08,1.49662238437286e-10,1.3814779678280294e-09
1,atm,2.3598303751421392e-12,7.386902268333556e-13,7.367782828594366e-11
2,otm,2.2741111191335864e-10,5.2297625337530275e-11,5.692561497858896e-09
