# msklasso,mskplslasso,msknslasso
0.000000000000000000e+00,6.499490967857642677e-224,3.333498983316174200e-39
0.000000000000000000e+00,0.000000000000000000e+00,1.740135052811829786e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
