# tsklasso,tskplslasso,tsknslasso
0.000000000000000000e+00,2.552950357806772472e-250,4.293616115336564569e-64
0.000000000000000000e+00,0.000000000000000000e+00,1.373180185817768611e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
