# pmridge,pmpca,pmplsridge,pmhar
0.000000000000000000e+00,7.286503083301721488e-11,3.194925639010095864e-09,7.380364246719285995e-03
0.000000000000000000e+00,0.000000000000000000e+00,1.608066848820943777e-07,2.595666342394474687e-20
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.570185522786545504e-24
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
