# pmridge,mskridge,tskridge,ridge
0.000000000000000000e+00,4.393506677485065333e-25,3.583061940014757862e-01,2.410169779470789526e-12
0.000000000000000000e+00,0.000000000000000000e+00,2.342520380147603176e-51,2.384731469789143077e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.337494657865577388e-33
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
