# pmenet,pmenetpca,pmplsenet,pmenethar
0.000000000000000000e+00,6.630911098361325084e-01,0.000000000000000000e+00,8.481283247931102429e-95
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.481283247897276930e-95
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.457939878144337120e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
