# mskridge,mskplsridge,msknsridge
0.000000000000000000e+00,7.268275838237898107e-41,3.131482260165198097e-45
0.000000000000000000e+00,0.000000000000000000e+00,2.729000001367576666e-32
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
