# tskenet,tskenetpca,tskplsenet,tsknsenet,tskenethar,tskenetvae
0.000000000000000000e+00,nan,2.153878635314097759e-242,4.293616115380893078e-64,7.034331013559736237e-03,nan
0.000000000000000000e+00,0.000000000000000000e+00,2.153878635314097759e-242,4.293616115380893078e-64,7.034331013559736237e-03,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.537499350580938146e-04,1.491159345897244968e-04,1.498060999127149781e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.513005422808992304e-130,1.545970445722351311e-144
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.706923721370202318e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
