,m,st,mt,lt
0,itm,3.859290203176774e-06,8.257309850025554e-07,1.1456838986312383e-06
1,atm,4.546372167488031e-06,3.0343933450017433e-08,8.378645563213965e-06
2,otm,1.0115758934064425e-05,4.36967636579533e-08,2.9133629348576116e-05
