# pmlasso,pmlassopca,pmplslasso,pmlassohar
0.000000000000000000e+00,2.583570086738518956e+00,7.063892328500458007e+01,2.144167334250788315e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.063892328500458007e+01,2.144167334250776236e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.073479669372225942e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
