,m,st,mt,lt
0,itm,-4.120203921209773,-3.6875684874329875,-4.431766108628577
1,atm,-1.8770885887113502,-1.6952041136775395,-2.3383551620874727
2,otm,-3.592368994511338,-3.3496221336371526,-5.012356224881884
