,m,st,mt,lt
0,itm,2.830399398793451e-06,8.934086084382484e-06,1.9534990637466793e-10
1,atm,2.0441671044217444e-07,1.3824256574685498e-07,4.93359339135462e-13
2,otm,9.164625767308247e-07,1.36094932688034e-06,0.0007951215689432752
