# ssviridge,lasso,enet,plsridge,plslasso,plsenet,pmlasso,pmenet,pmplsridge,pmplslasso,pmplsenet,msklasso,mskenet,mskplsridge,mskplslasso,mskplsenet,msknsridge,msknslasso,msknsenet,ctridge,ctlasso,ctenet,ssvilasso,ssvienet,tsklasso,tskenet,tskplsridge,tskplslasso,tskplsenet,tsknsridge,tsknslasso,tsknsenet,ridge,mskridge,pmridge,tskridge
0.000000000000000000e+00,-7.864811047400742154e+02,-7.864811047400742154e+02,-2.122197791095816655e+01,-2.082980807508998566e+01,-2.101186592467731984e+01,-7.864811047400742154e+02,-7.864811047400742154e+02,-4.403944428688777180e+01,-4.403944428688777180e+01,-4.403944428688777180e+01,-7.864811047400742154e+02,-7.864811047400742154e+02,-6.991293705633903244e+01,-8.528599326058254348e+01,-7.319479649130681764e+01,2.215571814860373134e+00,-4.348613795805517839e+03,-4.052050607627409590e+03,-3.424794468806857850e+01,-7.796963000113348699e+02,-7.796963000113348699e+02,-1.954306553391138479e+01,-1.954306553391138479e+01,-7.864811047400742154e+02,-7.864811047400742154e+02,-1.455883897069916166e+01,-2.053199121926105875e+01,-1.701672480046580915e+01,1.417746287774665959e+01,-7.864136470970897790e+02,-7.864136470970897790e+02,9.238153826994178530e+00,2.192286742460831661e+01,2.300479841040863249e+01,2.670757944500320491e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.632548654869505356e+01,8.636972548777353609e+01,8.634918834957466061e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.375154941073202508e+01,8.375154941073202508e+01,8.375154941073202508e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.083287549528093052e+01,7.909870923702199264e+01,8.046266349443629906e+01,8.896937253797293010e+01,-4.018283832580841022e+02,-3.683744058870645972e+02,8.485608503438642458e+01,7.653637164357407485e-01,7.653637164357407485e-01,8.651487720440891849e+01,8.651487720440891849e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.707712568737841252e+01,8.640332088582955805e+01,8.679986249286426414e+01,9.031874039239478691e+01,7.609597387203681507e-03,7.609597387203681507e-03,8.976155885470133455e+01,9.119246511201333760e+01,9.131451294586057088e+01,9.173220724467816467e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.632548654869505356e+01,8.636972548777353609e+01,8.634918834957466061e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.375154941073202508e+01,8.375154941073202508e+01,8.375154941073202508e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.083287549528093052e+01,7.909870923702199264e+01,8.046266349443629906e+01,8.896937253797293010e+01,-4.018283832580841022e+02,-3.683744058870645972e+02,8.485608503438642458e+01,7.653637164357407485e-01,7.653637164357407485e-01,8.651487720440891849e+01,8.651487720440891849e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.707712568737841252e+01,8.640332088582955805e+01,8.679986249286426414e+01,9.031874039239478691e+01,7.609597387203681507e-03,7.609597387203681507e-03,8.976155885470133455e+01,9.119246511201333760e+01,9.131451294586057088e+01,9.173220724467816467e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.235138071713827834e-01,1.733282940121538829e-01,-6.312874447496855055e+02,-6.312874447496855055e+02,-1.882287912567293020e+01,-1.882287912567293020e+01,-1.882287912567293020e+01,-6.312874447496855055e+02,-6.312874447496855055e+02,-4.016677502255083709e+01,-5.284851514028392216e+01,-4.287408890368420344e+01,1.933440629308511660e+01,-3.569807960956701663e+03,-3.325163224673035074e+03,-1.074554878710065609e+01,-6.256904359847212618e+02,-6.256904359847212618e+02,1.384990086764636974e+00,1.384990086764636974e+00,-6.312874447496855055e+02,-6.312874447496855055e+02,5.496642651016081516e+00,5.691927351688108594e-01,3.469051720622218227e+00,2.920216399596035117e+01,-6.312317967193968116e+02,-6.312317967193968116e+02,2.512756536634502780e+01,3.559160317220521108e+01,3.648412365771901733e+01,3.953866962240735461e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.506729609917156765e-01,-6.336609391857746232e+02,-6.336609391857746232e+02,-1.920853519635992157e+01,-1.920853519635992157e+01,-1.920853519635992157e+01,-6.336609391857746232e+02,-6.336609391857746232e+02,-4.062170565622864871e+01,-5.334460611361404858e+01,-4.333780649860378986e+01,1.907259496400817156e+01,-3.581718829712048773e+03,-3.336280065136830217e+03,-1.110498876621557329e+01,-6.280457645555850377e+02,-6.280457645555850377e+02,1.064921447511490982e+00,1.064921447511490982e+00,-6.336609391857746232e+02,-6.336609391857746232e+02,5.189918948223204431e+00,2.464763129010782983e-01,3.155747191334223878e+00,2.897237983783048776e+01,-6.336051105421154261e+02,-6.336051105421154261e+02,2.488455653541910095e+01,3.538255682168222904e+01,3.627797410574176240e+01,3.934243402137240508e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.325571736013523605e+02,-6.325571736013523605e+02,-1.902919039075370478e+01,-1.902919039075370478e+01,-1.902919039075370478e+01,-6.325571736013523605e+02,-6.325571736013523605e+02,-4.041014553242217033e+01,-5.311390485947224960e+01,-4.312216010214260109e+01,1.919434723367986351e+01,-3.576179820724782985e+03,-3.331110309638406761e+03,-1.093783544469095759e+01,-6.269504467924602977e+02,-6.269504467924602977e+02,1.213765591946314171e+00,1.213765591946314171e+00,-6.325571736013523605e+02,-6.325571736013523605e+02,5.332557187404074028e+00,3.965517775876281625e-01,3.301445766234412105e+00,2.907923824951781455e+01,-6.325014289498101334e+02,-6.325014289498101334e+02,2.499756492516224071e+01,3.547977136061181369e+01,3.637384152268481330e+01,3.943369107239701776e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.375154941073202508e+01,8.375154941073202508e+01,8.375154941073202508e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.083287549528093052e+01,7.909870923702199264e+01,8.046266349443629906e+01,8.896937253797293010e+01,-4.018283832580841022e+02,-3.683744058870645972e+02,8.485608503438642458e+01,7.653637164357407485e-01,7.653637164357407485e-01,8.651487720440891849e+01,8.651487720440891849e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.707712568737841252e+01,8.640332088582955805e+01,8.679986249286426414e+01,9.031874039239478691e+01,7.609597387203681507e-03,7.609597387203681507e-03,8.976155885470133455e+01,9.119246511201333760e+01,9.131451294586057088e+01,9.173220724467816467e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.375154941073202508e+01,8.375154941073202508e+01,8.375154941073202508e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.083287549528093052e+01,7.909870923702199264e+01,8.046266349443629906e+01,8.896937253797293010e+01,-4.018283832580841022e+02,-3.683744058870645972e+02,8.485608503438642458e+01,7.653637164357407485e-01,7.653637164357407485e-01,8.651487720440891849e+01,8.651487720440891849e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.707712568737841252e+01,8.640332088582955805e+01,8.679986249286426414e+01,9.031874039239478691e+01,7.609597387203681507e-03,7.609597387203681507e-03,8.976155885470133455e+01,9.119246511201333760e+01,9.131451294586057088e+01,9.173220724467816467e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.154432968891788960e+02,-5.154432968891788960e+02,-1.796278297069668994e+01,-2.863559296406528176e+01,-2.024122791417428857e+01,3.211274268013740851e+01,-2.988469146649217237e+03,-2.782578885376455219e+03,6.797790457534103048e+00,-5.107329171995531851e+02,-5.107329171995531851e+02,1.700671567726004341e+01,1.700671567726004341e+01,-5.154432968891788960e+02,-5.154432968891788960e+02,2.046703627755686128e+01,1.632014979230703844e+01,1.876063853217873145e+01,4.041733669055403766e+01,-5.153964641321390445e+02,-5.153964641321390445e+02,3.698820026531575422e+01,4.579461691071019658e+01,4.654575212312145283e+01,4.911642368668263003e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.154432968891788960e+02,-5.154432968891788960e+02,-1.796278297069668994e+01,-2.863559296406528176e+01,-2.024122791417428857e+01,3.211274268013740851e+01,-2.988469146649217237e+03,-2.782578885376455219e+03,6.797790457534103048e+00,-5.107329171995531851e+02,-5.107329171995531851e+02,1.700671567726004341e+01,1.700671567726004341e+01,-5.154432968891788960e+02,-5.154432968891788960e+02,2.046703627755686128e+01,1.632014979230703844e+01,1.876063853217873145e+01,4.041733669055403766e+01,-5.153964641321390445e+02,-5.153964641321390445e+02,3.698820026531575422e+01,4.579461691071019658e+01,4.654575212312145283e+01,4.911642368668263003e+01
