,m,st,mt,lt
0,itm,0.8201671947970863,0.8221928599774716,0.8943694891482535
1,atm,0.8968709422322195,0.9031877427809379,0.9289358898355915
2,otm,0.9161388459283033,0.9361310866788818,0.9286398927705845
