# mskhar,mskplslasso,mskplsenet
0.000000000000000000e+00,4.367881582654994238e-02,1.700510887729348164e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.201270755027701041e-42
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
