,m,st,mt,lt
0,itm,1.734985370106395e-12,4.306011196819081e-13,2.6870747732050137e-12
1,atm,2.0165741702760007e-15,1.1975447859922355e-13,9.755613313750437e-13
2,otm,9.101359682372543e-10,3.4239531295837565e-10,2.643612680650359e-08
