,m,st,mt,lt
0,itm,0.8629811606023231,0.5009326601120565,3.061968143219102e-05
1,atm,0.4470208529504681,0.6900862352813363,0.7357495362355239
2,otm,0.04625175504299472,0.031038033418699987,0.0014904393014469387
