# lasso,lassopca,plslasso,ctlasso,ssvilasso,lassohar,lassovae
0.000000000000000000e+00,3.998662303385835874e-133,1.401010013403682253e-245,8.428349263642295276e-276,6.703870429698845278e-201,1.235701781072784559e-173,1.276146452591413896e-202
0.000000000000000000e+00,0.000000000000000000e+00,2.173888841701484794e-322,3.651200717068627966e-86,1.060813876863459641e-206,6.613798417374781101e-102,8.972406709890233303e-102
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.572639872737010114e-01,1.007191473386597506e-22,7.599623392476165806e-01,7.585578627979352451e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.776506312112511366e-200,3.005190889895957673e-14,1.681412748976658020e-15
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.954888571845966538e-01,5.939261140619184198e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.447288138794412736e-174
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
