# pmenet,pmenetpca,pmplsenet,pmenethar,pmenetvae
0.000000000000000000e+00,nan,3.206623731383762033e-287,0.000000000000000000e+00,nan
0.000000000000000000e+00,0.000000000000000000e+00,3.206623731383762033e-287,0.000000000000000000e+00,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.874027544850963789e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
