# tskpca,tskhar,tskvae,tskenethar,tsklassohar,tskenetpca,tsklassopca,tskenetvae,tsklassovae,mskpca,mskhar,mskvae,mskenethar,msklassohar,mskenetpca,msklassopca,mskenetvae,msklassovae,pmpca,pmhar,pmvae,pmenethar,pmlassohar,pmenetpca,pmlassopca,pmenetvae,pmlassovae,vae,pca,har,enethar,lassohar,enetpca,lassopca,enetvae,lassovae
0.000000000000000000e+00,9.638911393266336347e+01,-1.885650785831693099e+01,-2.791225811975969862e+01,-2.791225811975969862e+01,-2.791232635340047352e+01,-2.791232635340047352e+01,-2.791232635340047352e+01,-2.791232635340047352e+01,-1.328485516707600134e+01,9.706583000502347147e+01,8.883954051094930193e+00,-2.791225811975969862e+01,-2.791225811975969862e+01,-2.791232635340047352e+01,-2.791232635340047352e+01,-2.791232635340047352e+01,-2.791232635340047352e+01,-1.120014722853036027e+01,7.830729391783086157e+01,-2.895364168902173319e+01,-2.791225811975969862e+01,-2.791225811975969862e+01,-2.791232635340047352e+01,-2.791232635340047352e+01,-2.791232635340047352e+01,-2.791232635340047352e+01,-4.987491984101941256e+01,-1.396742580269605050e+01,9.002405176828239064e+01,-2.791225811975969862e+01,-2.791225811975969862e+01,-1.077513957054697791e+01,-1.655713181697572622e+01,-2.791232636943659173e+01,-2.791232636943659173e+01
0.000000000000000000e+00,0.000000000000000000e+00,-4.821587919661318011e+01,-4.628235948850942094e+01,-4.628235948850942094e+01,-4.628255777603163068e+01,-4.628255777603163068e+01,-4.628255777603163068e+01,-4.628255777603163068e+01,-4.016383567695447709e+01,-5.099064065405635837e+00,-2.373730052194126117e+01,-4.628235948850942094e+01,-4.628235948850942094e+01,-4.628255777603163068e+01,-4.628255777603163068e+01,-4.628255777603163068e+01,-4.628255777603163068e+01,-4.040441772894660488e+01,-4.379141770761313168e+00,-4.564998515535110357e+01,-4.628235948850942094e+01,-4.628235948850942094e+01,-4.628255777603163068e+01,-4.628255777603163068e+01,-4.628255777603163068e+01,-4.628255777603163068e+01,-6.117650325696506286e+01,-7.289933653783121770e+01,-1.807032042230250823e+01,-4.628235948850942094e+01,-4.628235948850942094e+01,-4.707223555714385554e+01,-4.523008468500604096e+01,-4.628255779407206205e+01,-4.628255779407206205e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.068121504445415582e+01,-3.068121504445415582e+01,-3.068183840003209184e+01,-3.068183840003209184e+01,-3.068183840003209184e+01,-3.068183840003209184e+01,1.100965645948174831e+01,4.707802196148728058e+01,6.167435349509768372e+01,-3.068121504445415582e+01,-3.068121504445415582e+01,-3.068183840003209184e+01,-3.068183840003209184e+01,-3.068183840003209184e+01,-3.068183840003209184e+01,1.754949739912253648e+01,5.176689930225834502e+01,-3.532383620906028199e+01,-3.068121504445415582e+01,-3.068121504445415582e+01,-3.068183840003209184e+01,-3.068183840003209184e+01,-3.068183840003209184e+01,-3.068183840003209184e+01,-4.295215930689884942e+01,1.384253578460929646e+01,4.624802628561258899e+01,-3.068121504445415582e+01,-3.068121504445415582e+01,2.347294751375568467e+01,5.735180381155736917e+00,-3.068183843857203641e+01,-3.068183843857203641e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,3.835186088325552412e+00,3.835186088325552412e+00,3.835186088325552412e+00,3.835186088325552412e+00,2.816114360685283202e+01,4.576215002121613651e+01,4.591857299798854797e+01,nan,nan,3.835186088325552412e+00,3.835186088325552412e+00,3.835186088325552412e+00,3.835186088325552412e+00,3.111328992931663251e+01,4.775397368641852580e+01,-1.015722217609251388e+01,nan,nan,3.835186088325552412e+00,3.835186088325552412e+00,3.835186088325552412e+00,3.835186088325552412e+00,-3.094133943678280474e+01,2.430300030343842010e+01,4.521020626186385272e+01,nan,nan,3.535746401281591034e+01,3.661737436052964512e+01,3.834820117387856442e+00,3.834820117387856442e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.835186088325552412e+00,3.835186088325552412e+00,3.835186088325552412e+00,3.835186088325552412e+00,2.816114360685283202e+01,4.576215002121613651e+01,4.591857299798854797e+01,nan,nan,3.835186088325552412e+00,3.835186088325552412e+00,3.835186088325552412e+00,3.835186088325552412e+00,3.111328992931663251e+01,4.775397368641852580e+01,-1.015722217609251388e+01,nan,nan,3.835186088325552412e+00,3.835186088325552412e+00,3.835186088325552412e+00,3.835186088325552412e+00,-3.094133943678280474e+01,2.430300030343842010e+01,4.521020626186385272e+01,nan,nan,3.535746401281591034e+01,3.661737436052964512e+01,3.834820117387856442e+00,3.834820117387856442e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,2.816990858229019423e+01,4.576233945659785007e+01,4.591926792781227817e+01,-3.835186088325552412e+00,-3.835186088325552412e+00,nan,nan,nan,nan,3.111383068597655566e+01,4.775421711392365154e+01,-1.015825500217036570e+01,-3.835186088325552412e+00,-3.835186088325552412e+00,nan,nan,nan,nan,-3.094151225142336514e+01,2.430304452363764867e+01,4.521038683805554825e+01,-3.835186088325552412e+00,-3.835186088325552412e+00,3.535769888224264434e+01,3.661740143893490540e+01,-1.580562310752641686e+01,-1.580562310752641686e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,2.816990858229019423e+01,4.576233945659785007e+01,4.591926792781227817e+01,-3.835186088325552412e+00,-3.835186088325552412e+00,nan,nan,nan,nan,3.111383068597655566e+01,4.775421711392365154e+01,-1.015825500217036570e+01,-3.835186088325552412e+00,-3.835186088325552412e+00,nan,nan,nan,nan,-3.094151225142336514e+01,2.430304452363764867e+01,4.521038683805554825e+01,-3.835186088325552412e+00,-3.835186088325552412e+00,3.535769888224264434e+01,3.661740143893490540e+01,-1.580562310752641686e+01,-1.580562310752641686e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.816990858229019423e+01,4.576233945659785007e+01,4.591926792781227817e+01,-3.835186088325552412e+00,-3.835186088325552412e+00,nan,nan,nan,nan,3.111383068597655566e+01,4.775421711392365154e+01,-1.015825500217036570e+01,-3.835186088325552412e+00,-3.835186088325552412e+00,nan,nan,nan,nan,-3.094151225142336514e+01,2.430304452363764867e+01,4.521038683805554825e+01,-3.835186088325552412e+00,-3.835186088325552412e+00,3.535769888224264434e+01,3.661740143893490540e+01,-1.580562310752641686e+01,-1.580562310752641686e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.816990858229019423e+01,4.576233945659785007e+01,4.591926792781227817e+01,-3.835186088325552412e+00,-3.835186088325552412e+00,nan,nan,nan,nan,3.111383068597655566e+01,4.775421711392365154e+01,-1.015825500217036570e+01,-3.835186088325552412e+00,-3.835186088325552412e+00,nan,nan,nan,nan,-3.094151225142336514e+01,2.430304452363764867e+01,4.521038683805554825e+01,-3.835186088325552412e+00,-3.835186088325552412e+00,3.535769888224264434e+01,3.661740143893490540e+01,-1.580562310752641686e+01,-1.580562310752641686e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.933913752576428635e+01,3.832500897583000210e+01,-2.816114360685283202e+01,-2.816114360685283202e+01,-2.816168323890882874e+01,-2.816168323890882874e+01,-2.816168323890882874e+01,-2.816168323890882874e+01,1.643369575127423587e+01,4.248657811092551384e+01,-3.449594047725172885e+01,-2.816114360685283202e+01,-2.816114360685283202e+01,-2.816168323890882874e+01,-2.816168323890882874e+01,-2.816168323890882874e+01,-2.816168323890882874e+01,-4.486669904355812122e+01,8.492037846857936501e+00,3.834733306297341926e+01,-2.816114360685283202e+01,-2.816114360685283202e+01,8.130736252903812300e+00,-5.407121699132982684e+00,-2.816168326653229670e+01,-2.816168326653229670e+01
