# pmridge,pmpca,pmplsridge,pmhar,pmvae
0.000000000000000000e+00,8.702718220621056553e-09,2.876445008075987391e-05,7.182019499790356103e-14,4.596081840892353165e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.570967836933774489e-221,6.679011939828199185e-64
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.903337622161501279e-14,2.644487832143974440e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.788071622098184286e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
