# tskridge,tskplsridge,tsknsridge
0.000000000000000000e+00,2.963890216697913838e-39,1.428919758302622534e-16
0.000000000000000000e+00,0.000000000000000000e+00,1.124196561049194586e-55
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
