,models,rmse,rmsestd,r2:,r2std
0,ssviridge,0.019994838725579667,0.00957410400048325,0.8270138801137233,0.1666094106261658
1,ctridge,0.021626025193127237,0.013462146690496595,0.7504665767887101,0.13965699303091325
2,ctlasso,0.058781136219800224,0.029423854236822394,-0.5544606794059986,0.3045431689941854
3,ctenet,0.058781136219800224,0.029423854236822394,-0.5544606794059986,0.3045431689941854
4,ssvilasso,0.022358940027849966,0.009287932074641661,0.7940140391202754,0.1885081440478702
5,ssvienet,0.022358940027849966,0.009287932074641661,0.7940140391202754,0.1885081440478702
6,sridge,0.017227074689546155,0.01091835826280151,0.8474202615315699,0.12053490273736259
7,slasso,0.0591343790073285,0.02927091258159359,-0.565703001801922,0.3782102695653709
8,senet,0.0591343790073285,0.02927091258159359,-0.565703001801922,0.3782102695653709
9,splsridge,0.02129327921794756,0.012649564099331538,0.7768113203010306,0.13804318154970324
10,splslasso,0.02129725603423099,0.012640794288801783,0.7766165095411053,0.13740925620092878
11,splsenet,0.021298688011368732,0.012642755282306687,0.7766513189100556,0.13771860841139522
12,pmridge,0.01534039148915167,0.011470367037584089,0.8691323581791008,0.0773832911645128
13,pmlasso,0.0591343790073285,0.02927091258159359,-0.565703001801922,0.3782102695653709
14,pmenet,0.0591343790073285,0.02927091258159359,-0.565703001801922,0.3782102695653709
15,pmplsridge,0.017495558213259422,0.01385056283975133,0.8267542486912371,0.07820063373527597
16,pmplslasso,0.017495558213259422,0.01385056283975133,0.8267542486912371,0.07820063373527597
17,pmplsenet,0.017495558213259422,0.01385056283975133,0.8267542486912371,0.07820063373527597
18,mskridge,0.016892458874986607,0.010328828966365276,0.8584554516708892,0.1133245429371852
19,msklasso,0.0591343790073285,0.02927091258159359,-0.565703001801922,0.3782102695653709
20,mskenet,0.0591343790073285,0.02927091258159359,-0.565703001801922,0.3782102695653709
21,mskplsridge,0.02139126886854857,0.01336106329757439,0.7741881064008679,0.16330781431687377
22,mskplslasso,0.024037299964046455,0.013293870057232924,0.7260273193659155,0.19750112695106245
23,mskplsenet,0.022487784661388902,0.013322951985498967,0.7553066989649916,0.17375005653128073
24,msknsridge,0.018506659811862492,0.011677945981800605,0.826741315601982,0.10839843579448145
25,msknslasso,0.11827581508523619,0.05337783568223037,-5.556641705778235,2.6358281165948405
26,msknsenet,0.11827314851917259,0.05802095753945955,-5.153874391346504,1.5965752988300375
27,tskridge,0.015739545985430373,0.01027811013769346,0.8723124420850058,0.09476718362896173
28,tsklasso,0.0591343790073285,0.02927091258159359,-0.565703001801922,0.3782102695653709
29,tskenet,0.0591343790073285,0.02927091258159359,-0.565703001801922,0.3782102695653709
30,tskplsridge,0.017789366357339836,0.012729782579650743,0.8256474959139243,0.07678252145216498
31,tskplslasso,0.018662579461760396,0.013143930677400755,0.8146789797157491,0.08363648622695197
32,tskplsenet,0.018093538275776477,0.012897232991099591,0.821980577844161,0.08006086574156071
33,tsknsridge,0.016624566622461413,0.01139930183596967,0.8536383863502733,0.08708848031187572
34,tsknslasso,0.05913240602203258,0.029270195153888113,-0.5692535401618627,0.3938330869460513
35,tsknsenet,0.05913240602203258,0.029270195153888113,-0.5692535401618627,0.3938330869460513
