,m,st,mt,lt
0,itm,0.9999998582186749,0.5343069097666705,0.005097154229588086
1,atm,0.989835584557712,0.20052138542539372,9.112170949683107e-05
2,otm,0.440033421182497,0.02477370447868146,2.3101509497933332e-23
