# ridge,lasso,enet,pls,pmridge,pmlasso,pmenet,pmpls,mskridge,msklasso,mskenet,mskpls,tskridge,tsklasso,tskenet,tskpls
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.982516925511328689e-34,1.576315872778838750e-202,0.000000000000000000e+00,0.000000000000000000e+00,1.856366059064610274e-01,8.972296801312501525e-224,0.000000000000000000e+00,0.000000000000000000e+00,2.836044617291153939e-08,1.397827255321568225e-256,0.000000000000000000e+00,0.000000000000000000e+00,1.235022511049634582e-29
0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.066631397070030380e-92,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.415884471215261410e-71,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.015062831020080903e-72,0.000000000000000000e+00,0.000000000000000000e+00,3.558604425265483528e-167
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.526903653687164832e-21,2.466761739230489622e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.681037555591094146e-44,8.654803957680271553e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.513712612601142189e-85
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.405830968138408048e-17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.312431046258644906e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.566156203386016234e-34,6.707864078314851488e-11,0.000000000000000000e+00,0.000000000000000000e+00,8.840126731324413387e-66
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00
