# mskenet,mskplsenet,msknsenet
0.000000000000000000e+00,7.163385500766000291e+01,-4.857946854060199371e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.017277200406506950e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
