# enet,enetpca,plsenet,ctenet,ssvienet,enethar,enetvae
0.000000000000000000e+00,3.697696208599664658e+01,9.110640822769936165e+01,3.693078703929097983e-01,9.003429667045510598e+01,0.000000000000000000e+00,1.145884831466048581e-07
0.000000000000000000e+00,0.000000000000000000e+00,8.588834802848414540e+01,-5.808614663348325990e+01,8.418720572762079257e+01,0.000000000000000000e+00,-5.867213513551065773e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.020252589509560607e+03,-1.205487709232826532e+01,0.000000000000000000e+00,-1.024405104772906270e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999735611935651036e+01,0.000000000000000000e+00,-3.706766940091199558e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.034414689924170716e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
