# tskridge,tskpca,tskplsridge,tsknsridge,tskhar,tskvae
0.000000000000000000e+00,-9.833114096660713699e+01,-1.323591039039415840e+01,-8.294463360695665699e+00,1.354472425814793990e+00,-4.631802168014066723e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.667672389418635248e+01,9.895547186673033480e+01,9.742255974436804422e+01,-6.289060949490473895e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.593980773558313047e+01,1.439545112745709154e+01,-5.073882279235609616e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.037546738865562368e+01,-4.854501314715894722e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.697042197576386968e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
