# tskridge,tskpca,tskplsridge,tsknsridge,tskhar,tskvae
0.000000000000000000e+00,4.121777525790309982e-01,7.643264462058440428e-03,1.418243213599445010e-03,1.988687247844251119e-02,2.097980053089506386e-02
0.000000000000000000e+00,0.000000000000000000e+00,7.484258342415603176e-05,7.967407427160599283e-27,1.366044200698768063e-58,1.749496100400983467e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.761350528773047491e-29,5.678266569468802033e-28,5.014902950315238694e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.369024857267528988e-29,8.511979951410477696e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.422402761692458058e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
