# pmhar,tskridge,mskhar,har
0.000000000000000000e+00,1.208449864375322758e-01,6.621538679154814755e-01,7.785540628320658518e-02
0.000000000000000000e+00,0.000000000000000000e+00,1.211459272338435855e-06,4.063478189596988477e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.636546892335416206e-09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
