,m,st,mt,lt
0,itm,-2.33615563877395,-2.249609508609556,-0.36940702656052726
1,atm,0.5030012528820056,1.268573137971326,-0.10963491277272484
2,otm,0.6628107473537125,2.1300320938579524,-1.8520818397907204
