# har,plslasso,plsenet
0.000000000000000000e+00,3.088716141970945014e-03,3.137204778991092326e-03
0.000000000000000000e+00,0.000000000000000000e+00,2.906005527146307660e-10
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
