# ridge,plsridge,ctridge,ssviridge
0.000000000000000000e+00,7.294228133413587614e-61,1.777084579767242201e-152,7.432207887830577491e-238
0.000000000000000000e+00,0.000000000000000000e+00,1.046231014244456771e-39,6.726492762579721397e-11
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.693767120943870431e-78
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
