# enet,plsenet,ctenet,ssvienet
0.000000000000000000e+00,6.656933133993321637e-211,1.202375907310825762e-155,7.599662019105509261e-183
0.000000000000000000e+00,0.000000000000000000e+00,5.353992565637409162e-05,5.568764747973628224e-21
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.060284106337111515e-184
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
