,m,st,mt,lt
0,itm,7.291135572438604e-20,4.564390868455093e-22,1.6094821472052971e-16
1,atm,1.0079293780876658e-23,1.638918135049649e-19,9.086897303839747e-16
2,otm,7.457528206163831e-30,1.7953138648683987e-26,3.1257065909852354e-28
