# ridge,pca,plsridge,ctridge,ssviridge,har,vae
0.000000000000000000e+00,-7.165272859746202982e+01,7.831559249127361788e+00,1.853944043412993903e+00,1.712479087731708915e+01,3.349895755968558575e+01,-6.508378059325603715e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.352911183751068336e+01,7.169737396928047701e+01,7.817717145157764946e+01,7.701383123503019590e+01,-4.363188651486808567e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.939121556203399876e+00,6.519823709639787523e+00,1.368415702412068669e+01,-6.573221415630312947e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.524927146087636132e+00,1.790445766685192197e+01,-6.626596469230705111e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.550364150099135863e+01,-6.566298094644861294e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.652152709301719824e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
