,m,st,mt,lt
0,itm,0.00236613531088064,0.0006198969673856672,0.0005423275250009466
1,atm,0.2955028830094166,0.0028981204216548865,0.00031402929111869405
2,otm,0.533153023814475,2.6161501074375246e-07,2.0502303521140238e-08
