# lasso,enet,plsridge,plslasso,plsenet,pmlasso,pmenet,pmplsridge,pmplslasso,pmplsenet,msklasso,mskenet,mskplsridge,mskplslasso,mskplsenet,msknsridge,msknslasso,msknsenet,tsklasso,tskenet,tskplsridge,tskplslasso,tskplsenet,tsknsridge,tsknslasso,tsknsenet,ridge,mskridge,pmridge,tskridge
0.000000000000000000e+00,nan,1.226394171047010009e-198,5.671027134369668812e-200,2.384785946304938021e-199,nan,nan,4.846533990332444979e-217,4.846533990332444979e-217,4.846533990332444979e-217,nan,nan,1.068881805704061154e-211,7.947826310428569518e-207,3.243621079936480451e-207,8.790690246688300199e-202,1.093000527837433924e-48,7.223706564319852674e-45,nan,nan,7.450989358861029739e-205,4.330474767382834911e-221,3.305055608644621513e-218,1.982447842471179447e-209,1.000000000000000000e+00,1.000000000000000000e+00,6.023922432574120459e-201,9.035566494166774706e-195,2.930113402149718835e-212,1.981257787461039231e-203
0.000000000000000000e+00,0.000000000000000000e+00,1.226394171047010009e-198,5.671027134369668812e-200,2.384785946304938021e-199,nan,nan,4.846533990332444979e-217,4.846533990332444979e-217,4.846533990332444979e-217,nan,nan,1.068881805704061154e-211,7.947826310428569518e-207,3.243621079936480451e-207,8.790690246688300199e-202,1.093000527837433924e-48,7.223706564319852674e-45,nan,nan,7.450989358861029739e-205,4.330474767382834911e-221,3.305055608644621513e-218,1.982447842471179447e-209,1.000000000000000000e+00,1.000000000000000000e+00,6.023922432574120459e-201,9.035566494166774706e-195,2.930113402149718835e-212,1.981257787461039231e-203
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.724884941232739388e-01,2.485778873527190180e-01,2.813591932477042118e-02,2.813591932477042118e-02,2.239823866906162514e-164,2.239823866906162514e-164,2.239823866906162514e-164,2.813591932477042118e-02,2.813591932477042118e-02,2.423472559040864884e-40,1.899088064906802667e-02,2.353529467744876723e-03,4.205784757974029103e-106,4.416688136873623757e-03,1.364667334510691245e-03,2.813591932477042118e-02,2.813591932477042118e-02,2.179152466803222184e-223,7.999439722029062132e-29,2.422484060657154268e-55,8.150469313356161368e-165,2.877410359415003352e-02,2.877410359415003352e-02,3.608676284724587714e-47,2.583185996704408169e-58,1.000219564986435100e-141,3.685175862816415986e-86
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.786272254810316262e-01,2.879799097349815956e-02,2.879799097349815956e-02,3.916439396070531943e-178,3.916439396070531943e-178,3.916439396070531943e-178,2.879799097349815956e-02,2.879799097349815956e-02,1.785632740739642906e-44,2.512742003400332894e-02,2.870347417644180180e-03,3.825326035523772149e-110,4.761407101235666170e-03,1.807275802939962029e-03,2.879799097349815956e-02,2.879799097349815956e-02,1.200930168579386401e-225,4.470440446306283040e-30,3.348689260620560814e-60,2.220487023801541381e-173,2.939324808134131245e-02,2.939324808134131245e-02,4.725376820396961571e-47,1.424573172214024464e-58,1.417700543762426510e-148,9.659708549567385991e-87
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.974927794962523020e-02,2.974927794962523020e-02,3.976470546684409841e-172,3.976470546684409841e-172,3.976470546684409841e-172,2.974927794962523020e-02,2.974927794962523020e-02,1.631083872225019664e-42,2.614290840540759234e-02,3.203738789769353459e-03,2.611567624573048773e-108,5.139017891509692522e-03,1.801646760476903518e-03,2.974927794962523020e-02,2.974927794962523020e-02,2.671543033141503171e-225,2.047817038790602666e-29,6.577482727699920222e-58,9.692515162045343964e-170,3.038713142945389731e-02,3.038713142945389731e-02,3.742689532978045656e-47,1.957853979915230664e-58,1.209084964575547993e-145,1.560749031183883476e-86
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,4.846533990332444979e-217,4.846533990332444979e-217,4.846533990332444979e-217,nan,nan,1.068881805704061154e-211,7.947826310428569518e-207,3.243621079936480451e-207,8.790690246688300199e-202,1.093000527837433924e-48,7.223706564319852674e-45,nan,nan,7.450989358861029739e-205,4.330474767382834911e-221,3.305055608644621513e-218,1.982447842471179447e-209,1.000000000000000000e+00,1.000000000000000000e+00,6.023922432574120459e-201,9.035566494166774706e-195,2.930113402149718835e-212,1.981257787461039231e-203
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.846533990332444979e-217,4.846533990332444979e-217,4.846533990332444979e-217,nan,nan,1.068881805704061154e-211,7.947826310428569518e-207,3.243621079936480451e-207,8.790690246688300199e-202,1.093000527837433924e-48,7.223706564319852674e-45,nan,nan,7.450989358861029739e-205,4.330474767382834911e-221,3.305055608644621513e-218,1.982447842471179447e-209,1.000000000000000000e+00,1.000000000000000000e+00,6.023922432574120459e-201,9.035566494166774706e-195,2.930113402149718835e-212,1.981257787461039231e-203
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,2.132197750232919242e-01,2.132197750232919242e-01,5.404948435091846288e-86,1.567163284479103634e-52,1.507374682076744662e-54,2.223997585297426679e-27,4.826674406319231389e-04,7.918856671385939190e-04,2.132197750232919242e-01,2.132197750232919242e-01,3.418615731240753506e-25,1.019633056414799477e-18,3.597573420476419232e-44,4.806165652720671636e-41,2.132425099716415695e-01,2.132425099716415695e-01,4.101773407747980643e-26,9.103505211760077681e-26,2.685769250956660043e-24,3.072131565448207266e-29
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.132197750232919242e-01,2.132197750232919242e-01,5.404948435091846288e-86,1.567163284479103634e-52,1.507374682076744662e-54,2.223997585297426679e-27,4.826674406319231389e-04,7.918856671385939190e-04,2.132197750232919242e-01,2.132197750232919242e-01,3.418615731240753506e-25,1.019633056414799477e-18,3.597573420476419232e-44,4.806165652720671636e-41,2.132425099716415695e-01,2.132425099716415695e-01,4.101773407747980643e-26,9.103505211760077681e-26,2.685769250956660043e-24,3.072131565448207266e-29
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.132197750232919242e-01,2.132197750232919242e-01,5.404948435091846288e-86,1.567163284479103634e-52,1.507374682076744662e-54,2.223997585297426679e-27,4.826674406319231389e-04,7.918856671385939190e-04,2.132197750232919242e-01,2.132197750232919242e-01,3.418615731240753506e-25,1.019633056414799477e-18,3.597573420476419232e-44,4.806165652720671636e-41,2.132425099716415695e-01,2.132425099716415695e-01,4.101773407747980643e-26,9.103505211760077681e-26,2.685769250956660043e-24,3.072131565448207266e-29
