# tskridge,tskplsridge,tsknsridge
0.000000000000000000e+00,1.743002344976837849e-49,5.066111497982614419e-23
0.000000000000000000e+00,0.000000000000000000e+00,2.436928050501662089e-67
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
