,m,st,mt,lt
0,itm,2.233678801322131e-05,1.0002800002290058e-07,1.4564109873537856e-06
1,atm,1.4931993285420535e-09,1.9077196578746705e-18,0.008083517151323816
2,otm,4.725434689334334e-06,3.5825643386921045e-14,0.0032376270718164966
