,m,st,mt,lt
0,itm,-1.5632145871527126,-2.0489110308840357,1.5351727344013917
1,atm,-1.2946609694679907,-1.327188785322217,-0.7362125634551226
2,otm,-2.071605017721665,-2.3647003975688774,1.5149666964142208
