# pmridge,mskhar,tskridge,har
0.000000000000000000e+00,8.572204267451689358e-21,6.303753883752707088e-19,6.056605298550068491e-26
0.000000000000000000e+00,0.000000000000000000e+00,5.523873857146866498e-49,4.949590641296608444e-36
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.597357830853857619e-38
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
