,UnderlyingSymbol,UnderlyingPrice,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,m,tau,InterestR,ForwardP,Mid
0,SPX,1325.84,SPX110820P01195000,,put,2011-08-20,2011-07-20,1195.0,3.55,2.75,4.3,1109,2758,0.2554,-0.077,0.0015,-86.8955,55.1738,0.9013153925058831,0.08493150684931507,-0.006652625202398163,1325.0910888142946,3.525
1,SPX,1325.84,SPX110820P01200000,,put,2011-08-20,2011-07-20,1200.0,3.6,3.0,4.0,9288,111654,0.2473,-0.0791,0.0016,-85.9429,56.3021,0.9050865866167864,0.08493150684931507,-0.007289872762126476,1325.0193736510494,3.5
2,SPX,1325.84,SPX110820P01205000,,put,2011-08-20,2011-07-20,1205.0,4.05,3.3,4.9,1080,15020,0.2491,-0.0895,0.0017,-95.0642,61.7903,0.9088577807276896,0.08493150684931507,-0.007597558988338464,1324.9847483595445,4.1
3,SPX,1325.84,SPX110820P01210000,,put,2011-08-20,2011-07-20,1210.0,4.2,3.6,5.2,1272,14402,0.2455,-0.0961,0.0018,-98.8494,65.1359,0.912628974838593,0.08493150684931507,-0.008031562033577765,1324.935909616137,4.4
4,SPX,1325.84,SPX110820P01215000,,put,2011-08-20,2011-07-20,1215.0,4.85,3.9,5.5,1309,4340,0.2417,-0.1031,0.0019,-102.5139,68.5485,0.9164001689494963,0.08493150684931507,-0.008743411442099999,1324.8558084754984,4.7
5,SPX,1325.84,SPX110820C01220000,,call,2011-08-20,2011-07-20,1220.0,109.81,106.0,111.0,4,51,0.2334,0.8916,0.0021,-73.6644,70.1621,0.9201713630603995,0.08493150684931507,-0.017645933258555357,1323.8544575248686,108.5
6,SPX,1325.84,SPX110820P01220000,,put,2011-08-20,2011-07-20,1220.0,5.0,4.2,5.8,1582,5311,0.2374,-0.1101,0.0021,-105.7217,71.9003,0.9201713630603995,0.08493150684931507,-0.009036587840571559,1324.8228200914448,5.0
7,SPX,1325.84,SPX110820P01225000,,put,2011-08-20,2011-07-20,1225.0,5.6,4.7,5.8,6392,65020,0.2324,-0.1171,0.0022,-108.2327,75.1065,0.9239425571713028,0.08493150684931507,-0.009756813828265615,1324.7417833191591,5.25
8,SPX,1325.84,SPX110820C01230000,,call,2011-08-20,2011-07-20,1230.0,100.59,97.3,101.3,4,56,0.2289,0.872,0.0024,-84.6568,79.1137,0.927713751282206,0.08493150684931507,-0.017464535574973475,1323.8748534849735,99.3
9,SPX,1325.84,SPX110820P01230000,,put,2011-08-20,2011-07-20,1230.0,5.75,5.0,6.5,1309,17480,0.23,-0.1272,0.0024,-113.6156,79.5805,0.927713751282206,0.08493150684931507,-0.010406102984691596,1324.668732306739,5.75
10,SPX,1325.84,SPX110820P01235000,,put,2011-08-20,2011-07-20,1235.0,5.6,5.3,7.0,1749,10126,0.2258,-0.1362,0.0025,-117.0943,83.4387,0.9314849453931093,0.08493150684931507,-0.010785756366744892,1324.6260196696303,6.15
11,SPX,1325.84,SPX110820P01240000,,put,2011-08-20,2011-07-20,1240.0,6.8,5.8,7.8,1963,23801,0.2242,-0.1486,0.0027,-123.4654,88.5049,0.9352561395040127,0.08493150684931507,-0.011264587487742018,1324.572151074535,6.8
12,SPX,1325.84,SPX110820P01245000,,put,2011-08-20,2011-07-20,1245.0,6.85,6.3,8.3,982,1008,0.2203,-0.1595,0.0029,-127.3218,92.7549,0.9390273336149159,0.08493150684931507,-0.011695738830455127,1324.5236483381873,7.300000000000001
13,SPX,1325.84,SPX110820C01250000,,call,2011-08-20,2011-07-20,1250.0,83.7,79.4,83.4,13,10575,0.2161,0.8271,0.0031,-103.1245,97.017,0.9427985277258192,0.08493150684931507,-0.017804365077124747,1323.8366440536317,81.4
14,SPX,1325.84,SPX110820P01250000,,put,2011-08-20,2011-07-20,1250.0,8.0,6.8,8.8,10424,126033,0.2161,-0.171,0.0031,-130.8346,97.017,0.9427985277258192,0.08493150684931507,-0.012277287408338961,1324.4582293505869,7.800000000000001
15,SPX,1325.84,SPX110820P01255000,,put,2011-08-20,2011-07-20,1255.0,8.65,7.6,9.6,1065,6759,0.2143,-0.1859,0.0033,-136.9506,102.2582,0.9465697218367224,0.08493150684931507,-0.012754372958395429,1324.4045639272445,8.6
16,SPX,1325.84,SPX110820C01260000,,call,2011-08-20,2011-07-20,1260.0,72.55,70.7,74.7,34,260,0.2097,0.7992,0.0035,-112.2286,106.5671,0.9503409159476257,0.08493150684931507,-0.018160594946464846,1323.7965917970707,72.7
17,SPX,1325.84,SPX110820P01260000,,put,2011-08-20,2011-07-20,1260.0,9.05,8.2,10.2,5253,40634,0.21,-0.1992,0.0035,-140.2418,106.6678,0.9503409159476257,0.08493150684931507,-0.013241918759452262,1324.3497241190794,9.2
18,SPX,1325.84,SPX110820C01265000,,call,2011-08-20,2011-07-20,1265.0,70.0,66.4,70.4,1,1090,0.2058,0.7844,0.0037,-115.8698,111.1894,0.954112110058529,0.08493150684931507,-0.018402231126482333,1323.7694244273544,68.4
19,SPX,1325.84,SPX110820P01265000,,put,2011-08-20,2011-07-20,1265.0,10.11,9.0,11.0,1100,2858,0.2071,-0.215,0.0037,-144.9531,111.5942,0.954112110058529,0.08493150684931507,-0.013701298355242735,1324.2980545613805,10.0
20,SPX,1325.84,SPX110820C01270000,,call,2011-08-20,2011-07-20,1270.0,66.4,62.2,66.2,1,7603,0.2027,0.7676,0.0039,-120.2281,116.0766,0.9578833041694322,0.08493150684931507,-0.018766440828877164,1323.7284770614583,64.2
21,SPX,1325.84,SPX110820P01270000,,put,2011-08-20,2011-07-20,1270.0,10.5,9.8,11.8,2666,24858,0.2035,-0.2312,0.0039,-148.7474,116.3039,0.9578833041694322,0.08493150684931507,-0.014174774990595579,1324.2448015230827,10.8
22,SPX,1325.84,SPX110820C01275000,,call,2011-08-20,2011-07-20,1275.0,60.3,58.1,62.1,23,50041,0.1992,0.7501,0.0042,-123.9539,120.8131,0.9616544982803356,0.08493150684931507,-0.018965511599327165,1323.7060964696118,60.1
23,SPX,1325.84,SPX110820P01275000,,put,2011-08-20,2011-07-20,1275.0,11.8,10.8,12.2,13190,83124,0.1986,-0.2473,0.0042,-150.9647,120.6587,0.9616544982803356,0.08493150684931507,-0.014643105054468745,1324.1921294385031,11.5
24,SPX,1325.84,SPX110820C01280000,,call,2011-08-20,2011-07-20,1280.0,60.0,54.0,58.0,12,2802,0.1952,0.7318,0.0044,-126.9061,125.3642,0.9654256923912389,0.08493150684931507,-0.019225155987405828,1323.6769064390187,56.0
25,SPX,1325.84,SPX110820P01280000,,put,2011-08-20,2011-07-20,1280.0,12.5,11.0,14.0,1352,24483,0.1954,-0.2664,0.0044,-154.7504,125.4095,0.9654256923912389,0.08493150684931507,-0.01517136948841859,1324.1327191773635,12.5
26,SPX,1325.84,SPX110820C01285000,,call,2011-08-20,2011-07-20,1285.0,51.7,50.0,54.0,5,7664,0.1915,0.7119,0.0046,-129.8758,129.8783,0.9691968865021421,0.08493150684931507,-0.019436741460057656,1323.6531198173466,52.0
27,SPX,1325.84,SPX110820P01285000,,put,2011-08-20,2011-07-20,1285.0,12.87,12.0,15.0,1503,3813,0.1917,-0.2863,0.0046,-157.7043,129.917,0.9691968865021421,0.08493150684931507,-0.015616641560001933,1324.0826445656278,13.5
28,SPX,1325.84,SPX110820C01290000,,call,2011-08-20,2011-07-20,1290.0,49.05,46.1,50.1,6,4550,0.1879,0.6905,0.0049,-132.5835,134.2308,0.9729680806130454,0.08493150684931507,-0.01969887383535,1323.6236512620194,48.1
29,SPX,1325.84,SPX110820P01290000,,put,2011-08-20,2011-07-20,1290.0,14.5,13.1,16.2,3319,18439,0.1884,-0.308,0.0049,-160.6991,134.3105,0.9729680806130454,0.08493150684931507,-0.01618630388944489,1324.0185839780404,14.649999999999999
