,UnderlyingSymbol,UnderlyingPrice,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,m,tau,InterestR,ForwardP,Mid
0,SPX,4634.09,SPX220121P04175000,,put,2022-01-21,2021-12-14,4175.0,23.46,22.8,23.2,4062,10026,0.176,-0.0301,0.0003,-87.3434,101.2488,0.9009320060680738,0.10410958904109589,0.00754572749450377,4637.731890733076,23.0
1,SPX,4634.09,SPX220121P04180000,,put,2022-01-21,2021-12-14,4180.0,24.71,23.1,23.6,6,1263,0.176,-0.0316,0.0003,-90.8842,105.3511,0.9020109665543828,0.10410958904109589,0.007290586744037864,4637.608702158195,23.35
2,SPX,4634.09,SPX220121C04190000,,call,2022-01-21,2021-12-14,4190.0,435.38,467.0,473.1,5,26,0.1422,0.9869,0.0002,-25.3776,48.7394,0.904168887527001,0.10410958904109589,0.002068495559633038,4635.088059775606,470.05
3,SPX,4634.09,SPX220121P04190000,,put,2022-01-21,2021-12-14,4190.0,28.93,23.9,24.3,1081,6089,0.176,-0.0348,0.0003,-98.2555,113.8906,0.904168887527001,0.10410958904109589,0.006636262627055339,4637.292792451795,24.1
4,SPX,4634.09,SPX220121P04195000,,put,2022-01-21,2021-12-14,4195.0,24.8,24.2,24.7,3,1095,0.176,-0.0364,0.0003,-102.0864,118.3285,0.90524784801331,0.10410958904109589,0.006951745175457321,4637.445105714821,24.45
5,SPX,4634.09,SPX220121C04200000,,call,2022-01-21,2021-12-14,4200.0,442.42,457.8,463.8,1,5886,0.1422,0.9851,0.0002,-29.5644,54.7192,0.9063268084996191,0.10410958904109589,0.002711359174498603,4635.398288567117,460.8
6,SPX,4634.09,SPX220121P04200000,,put,2022-01-21,2021-12-14,4200.0,25.9,24.6,25.0,1121,24696,0.176,-0.0382,0.0003,-106.0144,122.8786,0.9063268084996191,0.10410958904109589,0.006330261228004196,4637.145061415601,24.8
7,SPX,4634.09,SPX220121P04210000,,put,2022-01-21,2021-12-14,4210.0,30.3,25.4,25.8,35,2046,0.176,-0.0418,0.0003,-114.1613,132.3152,0.9084847294722372,0.10410958904109589,0.006373529275352608,4637.165950032673,25.6
8,SPX,4634.09,SPX220121P04215000,,put,2022-01-21,2021-12-14,4215.0,26.4,25.8,26.2,1,42,0.176,-0.0437,0.0004,-118.3798,137.2013,0.9095636899585463,0.10410958904109589,0.006377284239280193,4637.167762829885,26.0
9,SPX,4634.09,SPX220121P04220000,,put,2022-01-21,2021-12-14,4220.0,31.1,26.2,26.6,6,943,0.176,-0.0457,0.0004,-122.6944,142.1984,0.9106426504448554,0.10410958904109589,0.006191740844303406,4637.078188236703,26.4
10,SPX,4634.09,SPX220121P04225000,,put,2022-01-21,2021-12-14,4225.0,27.82,26.6,27.1,23,7288,0.176,-0.0477,0.0004,-127.1047,147.3062,0.9117216109311644,0.10410958904109589,0.006392947143125327,4637.175324472998,26.85
11,SPX,4634.09,SPX220121P04230000,,put,2022-01-21,2021-12-14,4230.0,26.25,27.0,27.5,5,1598,0.176,-0.0499,0.0004,-131.6099,152.5236,0.9128005714174735,0.10410958904109589,0.005888638248174503,4636.931863431399,27.25
12,SPX,4634.09,SPX220121P04235000,,put,2022-01-21,2021-12-14,4235.0,32.21,27.4,27.9,292,122,0.176,-0.0521,0.0004,-136.2092,157.8497,0.9138795319037826,0.10410958904109589,0.00578106547956829,4636.879933068113,27.65
13,SPX,4634.09,SPX220121C04240000,,call,2022-01-21,2021-12-14,4240.0,494.92,421.3,427.0,3,3,0.1422,0.9754,0.0003,-50.313,84.3685,0.9149584923900916,0.10410958904109589,0.0030217008496734674,4635.548058592793,424.15
14,SPX,4634.09,SPX220121P04240000,,put,2022-01-21,2021-12-14,4240.0,28.63,27.9,28.3,8,550,0.176,-0.0543,0.0004,-140.9016,163.2834,0.9149584923900916,0.10410958904109589,0.006038121787817968,4637.004027032776,28.1
15,SPX,4634.09,SPX220121C04250000,,call,2022-01-21,2021-12-14,4250.0,429.87,412.2,417.9,2,4481,0.1422,0.9723,0.0003,-56.5772,93.3225,0.9171164133627098,0.10410958904109589,0.003116024052399309,4635.593579665868,415.04999999999995
16,SPX,4634.09,SPX220121P04250000,,put,2022-01-21,2021-12-14,4250.0,30.02,28.8,29.2,378,13167,0.176,-0.0591,0.0005,-150.561,174.468,0.9171164133627098,0.10410958904109589,0.0056772587737704445,4636.8298213093685,29.0
17,SPX,4634.09,SPX220121P04260000,,put,2022-01-21,2021-12-14,4260.0,32.0,29.7,30.2,19,968,0.176,-0.0642,0.0005,-160.5773,186.0647,0.9192743343353279,0.10410958904109589,0.005378920681650599,4636.685804278638,29.95
18,SPX,4634.09,SPX220121P04265000,,put,2022-01-21,2021-12-14,4265.0,34.4,30.2,30.7,4,286,0.176,-0.0668,0.0005,-165.7152,192.0128,0.920353294821637,0.10410958904109589,0.005526178230048223,4636.756889495869,30.45
19,SPX,4634.09,SPX220121C04270000,,call,2022-01-21,2021-12-14,4270.0,465.67,396.3,397.6,8,7,0.1422,0.9652,0.0004,-70.4762,113.1917,0.921432255307946,0.10410958904109589,0.003602100279738993,4635.828170724514,396.95000000000005
20,SPX,4634.09,SPX220121P04270000,,put,2022-01-21,2021-12-14,4270.0,35.0,30.6,31.1,3,2037,0.176,-0.0696,0.0005,-170.9372,198.0579,0.921432255307946,0.10410958904109589,0.005173251795242143,4636.586524146396,30.85
21,SPX,4634.09,SPX220121P04275000,,put,2022-01-21,2021-12-14,4275.0,35.09,31.1,31.6,537,5563,0.176,-0.0724,0.0005,-176.2411,204.1975,0.9225112157942551,0.10410958904109589,0.005161309215705755,4636.58075931018,31.35
