,UnderlyingSymbol,UnderlyingPrice,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,m,tau,InterestR,ForwardP,Mid
0,SPX,1646.06,SPXW130823C01300000,,call,2013-08-23,2013-08-19,1300.0,357.6,344.7,346.7,17,0,0.1841,1.0,0.0,-3.4228,0.0,0.78976465013426,0.010958904109589041,inf,inf,345.7
1,SPX,1646.06,SPXW130823C01350000,,call,2013-08-23,2013-08-19,1350.0,307.6,294.7,296.7,17,0,0.1841,1.0,0.0,-3.5545,0.0,0.8201402136009623,0.010958904109589041,inf,inf,295.7
2,SPX,1646.06,SPXW130823P01430000,,put,2013-08-23,2013-08-19,1430.0,0.05,0.0,0.05,26,8631,0.2782,0.0,0.0,-0.0007,0.0,0.868741115147686,0.010958904109589041,inf,inf,0.025
3,SPX,1646.06,SPXW130823P01440000,,put,2013-08-23,2013-08-19,1440.0,0.05,0.0,0.05,26,5930,0.2782,0.0,0.0,-0.0028,0.0002,0.8748162278410265,0.010958904109589041,inf,inf,0.025
4,SPX,1646.06,SPXW130823P01450000,,put,2013-08-23,2013-08-19,1450.0,0.05,0.0,0.05,352,21799,0.2782,0.0,0.0,-0.0102,0.0007,0.8808913405343669,0.010958904109589041,inf,inf,0.025
5,SPX,1646.06,SPXW130823P01460000,,put,2013-08-23,2013-08-19,1460.0,0.05,0.0,0.05,5408,5837,0.2782,0.0,0.0,-0.0341,0.0022,0.8869664532277074,0.010958904109589041,inf,inf,0.025
6,SPX,1646.06,SPXW130823P01470000,,put,2013-08-23,2013-08-19,1470.0,0.05,0.05,0.1,1050,3850,0.4403,-0.0034,0.0001,-38.4382,1.5951,0.8930415659210479,0.010958904109589041,0.9640316409099055,1663.5423656098185,0.07500000000000001
7,SPX,1646.06,SPXW130823P01475000,,put,2013-08-23,2013-08-19,1475.0,0.1,0.05,0.1,1755,53757,0.4283,-0.0034,0.0002,-38.2285,1.6309,0.8960791222677181,0.010958904109589041,0.9688469908360935,1663.6301546506195,0.07500000000000001
8,SPX,1646.06,SPXW130823P01480000,,put,2013-08-23,2013-08-19,1480.0,0.1,0.05,0.1,9,2801,0.4164,-0.0035,0.0002,-38.0772,1.6709,0.8991166786143884,0.010958904109589041,0.9366726915149821,1663.043670276493,0.07500000000000001
9,SPX,1646.06,SPXW130823P01490000,,put,2013-08-23,2013-08-19,1490.0,0.05,0.05,0.1,2,3230,0.3926,-0.0037,0.0002,-37.7355,1.7563,0.9051917913077288,0.010958904109589041,0.8780557694279589,1661.9757119457352,0.07500000000000001
10,SPX,1646.06,SPXW130823P01495000,,put,2013-08-23,2013-08-19,1495.0,0.1,0.05,0.1,1723,251,0.3807,-0.0039,0.0002,-37.5453,1.8021,0.908229347654399,0.010958904109589041,0.81960627170244,1660.9114868436686,0.07500000000000001
11,SPX,1646.06,SPXW130823P01500000,,put,2013-08-23,2013-08-19,1500.0,0.1,0.05,0.15,3479,10117,0.3779,-0.0048,0.0002,-45.1486,2.1832,0.9112669040010692,0.010958904109589041,0.798986123442552,1660.5362060569635,0.1
12,SPX,1646.06,SPXW130823P01505000,,put,2013-08-23,2013-08-19,1505.0,0.1,0.1,0.15,52,1309,0.3789,-0.0063,0.0003,-58.1714,2.8055,0.9143044603477395,0.010958904109589041,0.7830375209827285,1660.2460042202922,0.125
13,SPX,1646.06,SPXW130823P01510000,,put,2013-08-23,2013-08-19,1510.0,0.13,0.1,0.15,735,7863,0.3664,-0.0065,0.0003,-57.7956,2.8825,0.9173420166944097,0.010958904109589041,0.753560378146678,1659.7097696465682,0.125
14,SPX,1646.06,SPXW130823P01515000,,put,2013-08-23,2013-08-19,1515.0,0.15,0.1,0.15,375,1945,0.3539,-0.0067,0.0003,-57.4057,2.9642,0.92037957304108,0.010958904109589041,0.7265883396010953,1659.219258517659,0.125
15,SPX,1646.06,SPXW130823C01520000,,call,2013-08-23,2013-08-19,1520.0,134.2,124.8,126.9,150,414,0.1841,1.0,0.0,-4.0233,0.0021,0.9234171293877502,0.010958904109589041,inf,inf,125.85
16,SPX,1646.06,SPXW130823P01520000,,put,2013-08-23,2013-08-19,1520.0,0.15,0.15,0.2,77,2822,0.356,-0.0091,0.0004,-75.5415,3.8778,0.9234171293877502,0.010958904109589041,0.6971588882442536,1658.684222472431,0.175
17,SPX,1646.06,SPXW130823P01525000,,put,2013-08-23,2013-08-19,1525.0,0.15,0.15,0.2,186,9680,0.3431,-0.0095,0.0005,-75.0109,3.9954,0.9264546857344204,0.010958904109589041,0.6579201892139287,1657.9711197943097,0.175
18,SPX,1646.06,SPXW130823P01530000,,put,2013-08-23,2013-08-19,1530.0,0.2,0.15,0.25,266,921,0.3353,-0.0108,0.0005,-82.0096,4.4699,0.9294922420810906,0.010958904109589041,0.6301048369481915,1657.4658044778748,0.2
19,SPX,1646.06,SPXW130823P01535000,,put,2013-08-23,2013-08-19,1535.0,0.25,0.15,0.25,244,2051,0.3222,-0.0112,0.0006,-81.3321,4.6133,0.9325297984277608,0.010958904109589041,0.6021309592828783,1656.957764594444,0.2
20,SPX,1646.06,SPXW130823P01540000,,put,2013-08-23,2013-08-19,1540.0,0.25,0.2,0.3,1123,5635,0.3189,-0.0139,0.0007,-97.0538,5.5622,0.9355673547744311,0.010958904109589041,0.5738359960163718,1656.444051816738,0.25
21,SPX,1646.06,SPXW130823P01545000,,put,2013-08-23,2013-08-19,1545.0,0.28,0.25,0.3,517,1152,0.3101,-0.0156,0.0008,-104.7171,6.1719,0.9386049111211013,0.010958904109589041,0.5524135435737243,1656.0552197192865,0.275
22,SPX,1646.06,SPXW130823P01550000,,put,2013-08-23,2013-08-19,1550.0,0.3,0.25,0.35,5013,14943,0.3,-0.0173,0.0009,-110.6029,6.7384,0.9416424674677716,0.010958904109589041,0.5235188899104304,1655.5309066595696,0.3
