,UnderlyingSymbol,UnderlyingPrice,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,m,tau,InterestR,ForwardP,Mid
0,SPX,2411.8,SPX170616C02175000,,call,2017-06-16,2017-05-31,2175.0,233.4,235.4,240.0,4,19824,0.086,0.9991,0.0,28.2642,0.0,0.901816070984327,0.043835616438356165,-1.0791165863314431,2300.3691634808642,237.7
1,SPX,2411.8,SPX170616P02175000,,put,2017-06-16,2017-05-31,2175.0,0.55,0.35,0.6,901,42778,0.077,0.0,0.0,0.0,0.0,0.901816070984327,0.043835616438356165,inf,inf,0.475
2,SPX,2411.8,SPX170616P02180000,,put,2017-06-16,2017-05-31,2180.0,0.56,0.4,0.65,18,10144,0.077,0.0,0.0,0.0,0.0,0.9038892113773944,0.043835616438356165,inf,inf,0.525
3,SPX,2411.8,SPX170616P02190000,,put,2017-06-16,2017-05-31,2190.0,0.65,0.45,0.65,54,14765,0.077,0.0,0.0,0.0,0.0,0.9080354921635293,0.043835616438356165,inf,inf,0.55
4,SPX,2411.8,SPX170616P02195000,,put,2017-06-16,2017-05-31,2195.0,0.66,0.5,0.7,21,917,0.077,0.0,0.0,0.0,0.0,0.9101086325565967,0.043835616438356165,inf,inf,0.6
5,SPX,2411.8,SPX170616C02200000,,call,2017-06-16,2017-05-31,2200.0,206.4,210.5,215.1,8,45451,0.086,0.9991,0.0,27.9676,0.0003,0.9121817729496641,0.043835616438356165,-0.8183994628550494,2326.8101883484605,212.8
6,SPX,2411.8,SPX170616P02200000,,put,2017-06-16,2017-05-31,2200.0,0.7,0.6,0.75,343,69025,0.077,0.0,0.0,0.0,0.0,0.9121817729496641,0.043835616438356165,inf,inf,0.675
7,SPX,2411.8,SPX170616P02205000,,put,2017-06-16,2017-05-31,2205.0,0.7,0.55,0.75,74,12808,0.077,0.0,0.0,0.0,0.0,0.9142549133427315,0.043835616438356165,inf,inf,0.65
8,SPX,2411.8,SPX170616C02210000,,call,2017-06-16,2017-05-31,2210.0,199.02,200.6,205.2,1,101,0.086,0.9991,0.0,27.8483,0.001,0.916328053735799,0.043835616438356165,-0.714941235644561,2337.386598295499,202.89999999999998
9,SPX,2411.8,SPX170616P02210000,,put,2017-06-16,2017-05-31,2210.0,0.75,0.55,0.8,16,8379,0.077,0.0,0.0,0.0,0.0,0.916328053735799,0.043835616438356165,inf,inf,0.675
