,UnderlyingSymbol,UnderlyingPrice,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,m,tau,InterestR,ForwardP,Mid
0,SPX,877.52,JXB090508P00650000,,put,2009-05-08,2009-05-01,650.0,0.0,0.0,0.1,130,0,0.5979,-0.0001,0.0,-0.4763,0.0277,0.7407238581456833,0.019178082191780823,0.22837624777644716,881.3718072375207,0.05
1,SPX,877.52,JXB090508P00675000,,put,2009-05-08,2009-05-01,675.0,0.0,0.0,0.2,858,0,0.5979,-0.0004,0.0,-2.6889,0.1562,0.7692132373051327,0.019178082191780823,0.6151257972449373,887.933346742997,0.1
2,SPX,877.52,JXB090508P00700000,,put,2009-05-08,2009-05-01,700.0,0.0,0.2,0.2,1457,0,0.7151,-0.0072,0.0002,-47.425,2.3041,0.7977026164645821,0.019178082191780823,0.5953416595240506,887.5965093629212,0.2
3,SPX,877.52,JXB090508P00725000,,put,2009-05-08,2009-05-01,725.0,0.0,0.2,0.3,2674,0,0.632,-0.0097,0.0004,-54.6903,3.007,0.8261919956240313,0.019178082191780823,0.5134970397084362,886.2044104249511,0.25
4,SPX,877.52,JXB090508P00750000,,put,2009-05-08,2009-05-01,750.0,0.0,0.5,0.6,4678,0,0.5979,-0.0209,0.0007,-100.05,5.816,0.8546813747834807,0.019178082191780823,0.42161273663384496,884.6441474052626,0.55
5,SPX,877.52,JXB090508P00775000,,put,2009-05-08,2009-05-01,775.0,0.0,0.8,1.0,455,0,0.5341,-0.0357,0.0013,-139.4192,9.0759,0.8831707539429301,0.019178082191780823,0.3327180356977555,883.1372644832335,0.9
6,SPX,877.52,JXB090508P00800000,,put,2009-05-08,2009-05-01,800.0,0.0,1.4,1.5,912,0,0.4641,-0.0611,0.0023,-186.2875,13.9633,0.9116601331023795,0.019178082191780823,0.24945035440340946,881.728095297575,1.45
7,SPX,877.52,JXB090508P00825000,,put,2009-05-08,2009-05-01,825.0,0.0,2.6,2.8,120,0,0.4021,-0.1162,0.0042,-260.9928,22.5987,0.9401495122618289,0.019178082191780823,0.16852528972745057,880.3607256232903,2.7
8,SPX,877.52,JXB090508C00850000,,call,2009-05-08,2009-05-01,850.0,0.0,33.5,35.9,51,0,0.3861,0.7437,0.0072,-419.1272,37.2182,0.9686388914212781,0.019178082191780823,0.08960086597310893,879.0292027900878,34.7
9,SPX,877.52,JXB090508P00850000,,put,2009-05-08,2009-05-01,850.0,0.0,4.8,6.0,217,0,0.3401,-0.2306,0.0077,-342.8038,35.1522,0.9686388914212781,0.019178082191780823,0.09037448152678036,879.0422445707901,5.4
10,SPX,877.52,JXB090508C00875000,,call,2009-05-08,2009-05-01,875.0,0.0,16.5,17.8,154,0,0.343,0.5356,0.01,-457.6677,45.9306,0.9971282705807275,0.019178082191780823,0.01253400071454095,877.7309619410091,17.15
11,SPX,877.52,JXB090508P00875000,,put,2009-05-08,2009-05-01,875.0,0.0,11.9,13.7,201,0,0.3059,-0.4621,0.0112,-401.2395,45.9067,0.9971282705807275,0.019178082191780823,0.013422234591950487,877.7459138837824,12.8
12,SPX,877.52,JXB090508C00900000,,call,2009-05-08,2009-05-01,900.0,0.0,5.1,6.2,283,0,0.3023,0.2703,0.0095,-335.0406,38.2446,1.0256176497401768,0.019178082191780823,-0.06247296127397807,876.4692626969465,5.65
13,SPX,877.52,JXB090508P00900000,,put,2009-05-08,2009-05-01,900.0,0.0,25.8,27.6,53,0,0.2663,-0.7579,0.0101,-271.4168,36.1061,1.0256176497401768,0.019178082191780823,-0.06173070422243935,876.4817393842012,26.700000000000003
14,SPX,877.52,JXB090508C00925000,,call,2009-05-08,2009-05-01,925.0,0.0,1.6,1.8,290,0,0.3096,0.1024,0.005,-184.8026,20.634,1.0541070288996262,0.019178082191780823,-0.13506666343606474,875.2498842005441,1.7000000000000002
