,UnderlyingSymbol,UnderlyingPrice,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,m,tau,InterestR,ForwardP,Mid
0,SPX,1402.08,SPXW120907P01275000,,put,2012-09-07,2012-08-23,1275.0,0.6,0.45,0.65,1600,240,0.2216,-0.0153,0.0006,-30.6747,10.6786,0.9093632317699418,0.0410958904109589,0.027118492496339457,1403.6434311357316,0.55
1,SPX,1402.08,SPXW120907P01280000,,put,2012-09-07,2012-08-23,1280.0,0.65,0.5,0.7,100,119,0.2216,-0.019,0.0008,-37.0699,12.8975,0.9129293620906083,0.0410958904109589,0.026838044431965538,1403.6272538693663,0.6
2,SPX,1402.08,SPXW120907P01285000,,put,2012-09-07,2012-08-23,1285.0,0.65,0.5,0.8,3,0,0.2216,-0.0236,0.0009,-44.4146,15.4435,0.9164954924112747,0.0410958904109589,0.022937032963620665,1403.4022486448903,0.65
3,SPX,1402.08,SPXW120907P01290000,,put,2012-09-07,2012-08-23,1290.0,0.65,0.6,0.8,1,33,0.2216,-0.0289,0.0011,-52.7641,18.3349,0.9200616227319411,0.0410958904109589,0.02201711982823431,1403.3491945177664,0.7
4,SPX,1402.08,SPXW120907P01295000,,put,2012-09-07,2012-08-23,1295.0,0.8,0.65,0.95,21,0,0.2177,-0.0329,0.0012,-57.6492,20.3751,0.9236277530526076,0.0410958904109589,0.018836363854744298,1403.1657663147464,0.8
5,SPX,1402.08,SPXW120907P01300000,,put,2012-09-07,2012-08-23,1300.0,0.9,0.8,0.95,49,1493,0.2126,-0.0366,0.0014,-61.5199,22.2449,0.927193883373274,0.0410958904109589,0.01686814020334567,1403.0522745740059,0.875
6,SPX,1402.08,SPXW120907P01305000,,put,2012-09-07,2012-08-23,1305.0,0.95,0.85,1.15,20,0,0.2086,-0.0416,0.0015,-67.0738,24.6953,0.9307600136939405,0.0410958904109589,0.014885898101042974,1402.9379837789575,1.0
7,SPX,1402.08,SPXW120907P01310000,,put,2012-09-07,2012-08-23,1310.0,1.05,0.95,1.2,105,2534,0.2024,-0.0456,0.0017,-70.187,26.6042,0.9343261440146069,0.0410958904109589,0.01298581846578049,1402.828438991865,1.075
8,SPX,1402.08,SPXW120907P01315000,,put,2012-09-07,2012-08-23,1315.0,1.3,1.1,1.4,260,103,0.1991,-0.0526,0.0019,-77.5017,29.8317,0.9378922743352733,0.0410958904109589,0.011131310617068894,1402.721529791155,1.25
9,SPX,1402.08,SPXW120907P01320000,,put,2012-09-07,2012-08-23,1320.0,1.15,1.3,1.5,102,474,0.1944,-0.0594,0.0022,-83.386,32.8323,0.9414584046559398,0.0410958904109589,0.008996277818945454,1402.59845889702,1.4
10,SPX,1402.08,SPXW120907P01325000,,put,2012-09-07,2012-08-23,1325.0,1.55,1.45,1.7,135,2961,0.1895,-0.067,0.0025,-89.3964,36.0598,0.9450245349766062,0.0410958904109589,0.006913409347340624,1402.4784053458407,1.575
11,SPX,1402.08,SPXW120907C01330000,,call,2012-09-07,2012-08-23,1330.0,72.85,71.2,73.9,14,0,0.1809,0.9271,0.0027,-54.0714,38.011,0.9485906652972727,0.0410958904109589,-0.002664424107831815,1401.926485017745,72.55000000000001
12,SPX,1402.08,SPXW120907P01330000,,put,2012-09-07,2012-08-23,1330.0,1.9,1.7,1.9,21,834,0.1853,-0.0765,0.0028,-96.9082,39.9175,0.9485906652972727,0.0410958904109589,0.004779341692760855,1402.3554114049991,1.7999999999999998
13,SPX,1402.08,SPXW120907P01335000,,put,2012-09-07,2012-08-23,1335.0,2.35,1.95,2.25,30,937,0.182,-0.0885,0.0032,-106.3575,44.5347,0.9521567956179391,0.0410958904109589,0.0025368472758587474,1402.2261800648039,2.1
14,SPX,1402.08,SPXW120907P01340000,,put,2012-09-07,2012-08-23,1340.0,2.6,2.3,2.5,90,1722,0.1777,-0.101,0.0036,-114.6961,49.1003,0.9557229259386055,0.0410958904109589,0.0006192055064191855,1402.1156789055894,2.4
15,SPX,1402.08,SPXW120907P01345000,,put,2012-09-07,2012-08-23,1345.0,2.65,2.6,2.95,82,56,0.1738,-0.1159,0.004,-124.1194,54.2198,0.959289056259272,0.0410958904109589,-0.001320054523555627,1402.0039408830885,2.7750000000000004
