,UnderlyingSymbol,UnderlyingPrice,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,m,tau,InterestR,ForwardP,Mid
0,SPX,1342.64,SPX120317P01210000,,put,2012-03-17,2012-02-10,1210.0,6.3,4.2,6.9,48,23118,0.265,-0.1007,0.0016,-103.8576,73.6393,0.901209557290115,0.09863013698630137,-0.011714055871352606,1341.0896646485235,5.550000000000001
1,SPX,1342.64,SPX120317P01215000,,put,2012-03-17,2012-02-10,1215.0,5.6,4.5,7.2,21,26732,0.2612,-0.1067,0.0017,-106.859,76.7997,0.9049335637251981,0.09863013698630137,-0.012060565095770415,1341.0438320130243,5.85
2,SPX,1342.64,SPX120317P01220000,,put,2012-03-17,2012-02-10,1220.0,6.29,4.8,7.4,3520,13111,0.2564,-0.1123,0.0018,-108.9048,79.6543,0.9086575701602811,0.09863013698630137,-0.01259508937596458,1340.9731337736273,6.1
3,SPX,1342.64,SPX120317P01225000,,put,2012-03-17,2012-02-10,1225.0,6.51,5.2,7.7,240,60138,0.2527,-0.1192,0.0019,-112.0883,83.0987,0.9123815765953643,0.09863013698630137,-0.012969882403026267,1340.9235644276819,6.45
4,SPX,1342.64,SPX120317C01230000,,call,2012-03-17,2012-02-10,1230.0,117.0,114.0,120.5,70,15283,0.2558,0.8648,0.002,-91.0743,89.4683,0.9161055830304474,0.09863013698630137,-0.023419199973830462,1339.542296872126,117.25
5,SPX,1342.64,SPX120317P01230000,,put,2012-03-17,2012-02-10,1230.0,6.99,5.5,8.1,484,18932,0.2487,-0.1263,0.002,-115.0051,86.5377,0.9161055830304474,0.09863013698630137,-0.013352315251083605,1340.8729865436544,6.8
6,SPX,1342.64,SPX120317C01235000,,call,2012-03-17,2012-02-10,1235.0,108.13,109.4,115.8,25,13898,0.2514,0.8574,0.0021,-93.6707,92.8416,0.9198295894655305,0.09863013698630137,-0.02337477093986335,1339.5481668151995,112.6
7,SPX,1342.64,SPX120317P01235000,,put,2012-03-17,2012-02-10,1235.0,8.41,5.9,8.5,45,15804,0.2449,-0.134,0.0021,-118.154,90.1831,0.9198295894655305,0.09863013698630137,-0.013492662085758077,1340.8544257349754,7.2
8,SPX,1342.64,SPX120317P01240000,,put,2012-03-17,2012-02-10,1240.0,7.91,6.4,9.0,258,22192,0.2419,-0.1431,0.0022,-122.1469,94.2774,0.9235535959006137,0.09863013698630137,-0.014101173361847172,1340.773953351643,7.7
9,SPX,1342.64,SPX120317P01245000,,put,2012-03-17,2012-02-10,1245.0,8.18,6.8,9.4,440,14491,0.2375,-0.1514,0.0024,-124.7129,97.9096,0.9272776023356968,0.09863013698630137,-0.01444843591181696,1340.7280318888843,8.1
10,SPX,1342.64,SPX120317C01250000,,call,2012-03-17,2012-02-10,1250.0,93.0,96.5,101.4,120,163856,0.2401,0.8304,0.0025,-103.4306,104.3578,0.9310016087707799,0.09863013698630137,-0.023011237865904956,1339.5961976002757,98.95
11,SPX,1342.64,SPX120317P01250000,,put,2012-03-17,2012-02-10,1250.0,8.94,7.3,9.9,6232,177086,0.2338,-0.1609,0.0025,-127.9985,101.9388,0.9310016087707799,0.09863013698630137,-0.01462113402702738,1340.7051951426968,8.6
12,SPX,1342.64,SPX120317C01255000,,call,2012-03-17,2012-02-10,1255.0,94.7,92.1,97.0,45,13788,0.2368,0.8198,0.0026,-107.1339,108.5547,0.9347256152058631,0.09863013698630137,-0.0228153882325474,1339.6220743961449,94.55
13,SPX,1342.64,SPX120317P01255000,,put,2012-03-17,2012-02-10,1255.0,9.54,7.9,10.5,314,12392,0.2307,-0.1717,0.0026,-131.8893,106.2984,0.9347256152058631,0.09863013698630137,-0.01501163502739325,1340.6535586523948,9.2
14,SPX,1342.64,SPX120317C01260000,,call,2012-03-17,2012-02-10,1260.0,87.0,87.6,92.5,10,13449,0.2322,0.8097,0.0028,-109.4609,112.3682,0.9384496216409461,0.09863013698630137,-0.022775949063532464,1339.627285389652,90.05
15,SPX,1342.64,SPX120317P01260000,,put,2012-03-17,2012-02-10,1260.0,11.25,8.5,11.1,2951,43834,0.2272,-0.1828,0.0028,-135.3357,110.5849,0.9384496216409461,0.09863013698630137,-0.015363137955611077,1340.6070806321572,9.8
16,SPX,1342.64,SPX120317P01265000,,put,2012-03-17,2012-02-10,1265.0,10.7,9.1,11.6,121,10504,0.2228,-0.1938,0.0029,-137.8081,114.6271,0.9421736280760292,0.09863013698630137,-0.01581692563002471,1340.5470802354403,10.35
17,SPX,1342.64,SPX120317P01270000,,put,2012-03-17,2012-02-10,1270.0,11.5,9.8,12.4,3590,13384,0.2198,-0.2069,0.0031,-141.6461,119.2209,0.9458976345111124,0.09863013698630137,-0.016132073921335893,1340.5054124984135,11.100000000000001
18,SPX,1342.64,SPX120317C01275000,,call,2012-03-17,2012-02-10,1275.0,72.2,74.6,79.5,10,46802,0.2207,0.7728,0.0032,-118.3811,124.9969,0.9496216409461955,0.09863013698630137,-0.022727055756450582,1339.6337455616576,77.05
