,UnderlyingSymbol,UnderlyingPrice,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,m,tau,InterestR,ForwardP,Mid
0,SPX,4147.6,SPX230317P03735000,,put,2023-03-17,2023-02-15,3735.0,7.3,6.6,6.8,109,1470,0.1617,-0.0095,0.0001,-29.2257,29.8998,0.9005207831034815,0.0821917808219178,0.03500886183158336,4159.551659891024,6.699999999999999
1,SPX,4147.6,SPX230317P03740000,,put,2023-03-17,2023-02-15,3740.0,7.0,6.8,7.0,123,1265,0.1617,-0.0102,0.0001,-31.2736,32.0045,0.9017262995467258,0.0821917808219178,0.036269670529948915,4159.982728712152,6.9
2,SPX,4147.6,SPX230317P03745000,,put,2023-03-17,2023-02-15,3745.0,7.35,7.0,7.2,113,346,0.1617,-0.0111,0.0002,-33.4334,34.2252,0.9029318159899701,0.0821917808219178,0.034486978467638575,4159.373241733022,7.1
3,SPX,4147.6,SPX230317P03750000,,put,2023-03-17,2023-02-15,3750.0,7.3,7.2,7.4,4355,24437,0.1617,-0.0119,0.0002,-35.7087,36.5656,0.9041373324332143,0.0821917808219178,0.03572499467140934,4159.796499278189,7.300000000000001
4,SPX,4147.6,SPX230317P03755000,,put,2023-03-17,2023-02-15,3755.0,7.9,7.4,7.6,226,1314,0.1617,-0.0129,0.0002,-38.103,39.0297,0.9053428488764586,0.0821917808219178,0.034376438638399225,4159.335452062946,7.5
5,SPX,4147.6,SPX230317P03760000,,put,2023-03-17,2023-02-15,3760.0,8.01,7.6,7.8,709,1524,0.1617,-0.0139,0.0002,-40.6198,41.6211,0.9065483653197028,0.0821917808219178,0.034146575326758875,4159.2568710007745,7.699999999999999
6,SPX,4147.6,SPX230317P03765000,,put,2023-03-17,2023-02-15,3765.0,7.98,7.8,8.0,93,392,0.1617,-0.0149,0.0002,-43.2625,44.3434,0.9077538817629471,0.0821917808219178,0.03488404124203961,4159.508986327149,7.9
7,SPX,4147.6,SPX230317P03770000,,put,2023-03-17,2023-02-15,3770.0,8.34,8.0,8.2,92,1551,0.1617,-0.0161,0.0002,-46.0344,47.2003,0.9089593982061914,0.0821917808219178,0.03364801840296536,4159.086439453459,8.1
8,SPX,4147.6,SPX230317C03775000,,call,2023-03-17,2023-02-15,3775.0,361.38,389.1,394.1,4,849,0.1376,0.9912,0.0001,-86.7517,21.8405,0.9101649146494357,0.0821917808219178,-0.015320589105236308,4142.380519105158,391.6
9,SPX,4147.6,SPX230317P03775000,,put,2023-03-17,2023-02-15,3775.0,8.6,8.3,8.5,203,8248,0.1617,-0.0173,0.0002,-48.9385,50.195,0.9101649146494357,0.0821917808219178,0.03346760181378144,4159.024765812963,8.4
