,UnderlyingSymbol,UnderlyingPrice,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,m,tau,InterestR,ForwardP,Mid
0,SPX,2648.98,SPX180216P01100000,,put,2018-02-16,2018-02-05,1100.0,0.05,0.0,1.0,5,9301,0.4782,0.0,0.0,0.0,0.0,0.4152541733044417,0.030136986301369864,inf,inf,0.5
1,SPX,2648.98,SPX180216P01200000,,put,2018-02-16,2018-02-05,1200.0,1.2,0.15,0.4,9,17029,0.4782,0.0,0.0,0.0,0.0,0.45300455269575457,0.030136986301369864,inf,inf,0.275
2,SPX,2648.98,SPX180216P01300000,,put,2018-02-16,2018-02-05,1300.0,0.55,0.55,1.65,3006,3121,0.4782,0.0,0.0,0.0,0.0,0.4907549320870675,0.030136986301369864,inf,inf,1.1
3,SPX,2648.98,SPX180216P01400000,,put,2018-02-16,2018-02-05,1400.0,0.1,0.9,2.05,5,470,0.4782,0.0,0.0,0.0,0.0,0.5285053114783803,0.030136986301369864,inf,inf,1.4749999999999999
4,SPX,2648.98,SPX180216P01450000,,put,2018-02-16,2018-02-05,1450.0,0.05,1.1,2.3,5,5250,0.4782,0.0,0.0,0.0,0.0,0.5473805011740368,0.030136986301369864,inf,inf,1.7
5,SPX,2648.98,SPX180216P01525000,,put,2018-02-16,2018-02-05,1525.0,1.6,1.5,2.75,400,750,0.4782,0.0,0.0,0.0,0.0,0.5756932857175214,0.030136986301369864,inf,inf,2.125
6,SPX,2648.98,SPX180216P01550000,,put,2018-02-16,2018-02-05,1550.0,1.7,1.7,2.9,310,8413,0.4782,0.0,0.0,0.0,0.0,0.5851308805653497,0.030136986301369864,inf,inf,2.3
7,SPX,2648.98,SPX180216P01600000,,put,2018-02-16,2018-02-05,1600.0,1.9,2.0,3.3,36,5967,0.4782,0.0,0.0,0.0,0.0,0.6040060702610062,0.030136986301369864,inf,inf,2.65
8,SPX,2648.98,SPX180216P01650000,,put,2018-02-16,2018-02-05,1650.0,2.6,2.4,3.0,317,8339,0.4782,0.0,0.0,0.0,0.0,0.6228812599566625,0.030136986301369864,inf,inf,2.7
9,SPX,2648.98,SPX180216P01675000,,put,2018-02-16,2018-02-05,1675.0,0.05,2.65,4.0,1,5969,0.4782,0.0,0.0,-0.0001,0.0,0.6323188548044908,0.030136986301369864,inf,inf,3.325
10,SPX,2648.98,SPX180216P01700000,,put,2018-02-16,2018-02-05,1700.0,1.7,2.85,4.3,584,6983,0.4782,0.0,0.0,-0.0003,0.0,0.641756449652319,0.030136986301369864,inf,inf,3.575
11,SPX,2648.98,SPX180216P01725000,,put,2018-02-16,2018-02-05,1725.0,4.0,3.1,4.5,6,5440,0.4782,0.0,0.0,-0.0009,0.0001,0.6511940445001472,0.030136986301369864,inf,inf,3.8
12,SPX,2648.98,SPX180216P01750000,,put,2018-02-16,2018-02-05,1750.0,0.05,3.4,4.8,244,5231,0.4782,0.0,0.0,-0.0022,0.0003,0.6606316393479754,0.030136986301369864,inf,inf,4.1
13,SPX,2648.98,SPX180216P01775000,,put,2018-02-16,2018-02-05,1775.0,2.35,3.7,5.2,1813,9533,0.4782,0.0,0.0,-0.0054,0.0006,0.6700692341958037,0.030136986301369864,inf,inf,4.45
14,SPX,2648.98,SPX180216P01800000,,put,2018-02-16,2018-02-05,1800.0,3.95,4.0,5.5,563,9928,0.4782,0.0,0.0,-0.0128,0.0015,0.6795068290436319,0.030136986301369864,inf,inf,4.75
15,SPX,2648.98,SPX180216P01810000,,put,2018-02-16,2018-02-05,1810.0,0.45,4.1,5.7,1,1978,0.4782,0.0,0.0,-0.0178,0.0021,0.6832818669827632,0.030136986301369864,inf,inf,4.9
16,SPX,2648.98,SPX180216P01840000,,put,2018-02-16,2018-02-05,1840.0,1.9,4.6,6.0,4,1878,0.4782,0.0,0.0,-0.0462,0.0054,0.694606980800157,0.030136986301369864,inf,inf,5.3
17,SPX,2648.98,SPX180216P01850000,,put,2018-02-16,2018-02-05,1850.0,3.8,4.7,6.2,34,19060,0.4782,0.0,0.0,-0.0627,0.0074,0.6983820187392883,0.030136986301369864,inf,inf,5.45
18,SPX,2648.98,SPX180216P01860000,,put,2018-02-16,2018-02-05,1860.0,1.9,4.9,6.5,1,2056,0.4782,0.0,0.0,-0.0845,0.01,0.7021570566784197,0.030136986301369864,inf,inf,5.7
19,SPX,2648.98,SPX180216P01870000,,put,2018-02-16,2018-02-05,1870.0,0.9,5.0,6.7,510,1477,0.4782,0.0,0.0,-0.1132,0.0133,0.7059320946175509,0.030136986301369864,inf,inf,5.85
