,UnderlyingSymbol,UnderlyingPrice,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,m,tau,InterestR,ForwardP,Mid
0,SPX,1172.53,SPXW110812P00850000,,put,2011-08-12,2011-08-09,850.0,0.05,0.0,0.05,1071,0,0.5674,0.0,0.0,0.0,0.0,0.7249281468277997,0.00821917808219178,inf,inf,0.025
1,SPX,1172.53,SPXW110812P00875000,,put,2011-08-12,2011-08-09,875.0,0.05,0.0,0.05,1864,0,0.5674,0.0,0.0,0.0,0.0,0.7462495629109703,0.00821917808219178,inf,inf,0.025
2,SPX,1172.53,SPXW110812P00900000,,put,2011-08-12,2011-08-09,900.0,0.05,0.0,0.1,2295,0,0.5674,0.0,0.0,-0.0001,0.0,0.7675709789941408,0.00821917808219178,inf,inf,0.05
3,SPX,1172.53,SPXW110812P00910000,,put,2011-08-12,2011-08-09,910.0,0.05,0.0,0.1,351,0,0.5674,0.0,0.0,-0.0002,0.0,0.7760995454274091,0.00821917808219178,inf,inf,0.05
4,SPX,1172.53,SPXW110812P00920000,,put,2011-08-12,2011-08-09,920.0,0.05,0.0,0.15,482,0,0.5674,0.0,0.0,-0.0009,0.0,0.7846281118606774,0.00821917808219178,inf,inf,0.075
5,SPX,1172.53,SPXW110812P00925000,,put,2011-08-12,2011-08-09,925.0,0.05,0.05,0.1,4640,4431,0.5674,0.0,0.0,-0.0017,0.0,0.7888923950773115,0.00821917808219178,inf,inf,0.07500000000000001
6,SPX,1172.53,SPXW110812P00930000,,put,2011-08-12,2011-08-09,930.0,0.1,0.05,0.1,229,0,0.5674,0.0,0.0,-0.0032,0.0001,0.7931566782939455,0.00821917808219178,inf,inf,0.07500000000000001
7,SPX,1172.53,SPXW110812P00940000,,put,2011-08-12,2011-08-09,940.0,1.2,0.05,0.9,264,0,0.5674,0.0,0.0,-0.0104,0.0002,0.8016852447272138,0.00821917808219178,inf,inf,0.47500000000000003
8,SPX,1172.53,SPXW110812P00945000,,put,2011-08-12,2011-08-09,945.0,0.15,0.05,1.05,66,0,0.5674,0.0,0.0,-0.0183,0.0004,0.8059495279438479,0.00821917808219178,inf,inf,0.55
9,SPX,1172.53,SPXW110812C00950000,,call,2011-08-12,2011-08-09,950.0,186.0,221.6,226.5,4,0,0.8367,0.9993,0.0,-18.3889,0.2385,0.8102138111604821,0.00821917808219178,3.527850074854868,1207.0264254565363,224.05
10,SPX,1172.53,SPXW110812P00950000,,put,2011-08-12,2011-08-09,950.0,0.1,0.05,0.15,2523,4024,0.5674,0.0,0.0,-0.0316,0.0007,0.8102138111604821,0.00821917808219178,inf,inf,0.1
11,SPX,1172.53,SPXW110812P00960000,,put,2011-08-12,2011-08-09,960.0,0.25,0.05,1.45,297,0,0.5674,0.0,0.0,-0.0903,0.002,0.8187423775937502,0.00821917808219178,inf,inf,0.75
12,SPX,1172.53,SPXW110812P00965000,,put,2011-08-12,2011-08-09,965.0,0.2,0.05,1.6,155,0,0.5674,0.0,0.0,-0.1491,0.0034,0.8230066608103844,0.00821917808219178,inf,inf,0.8250000000000001
13,SPX,1172.53,SPXW110812P00970000,,put,2011-08-12,2011-08-09,970.0,2.9,0.05,0.25,103,0,0.5674,0.0,0.0,-0.2422,0.0055,0.8272709440270185,0.00821917808219178,inf,inf,0.15
14,SPX,1172.53,SPXW110812P00975000,,put,2011-08-12,2011-08-09,975.0,0.15,0.1,0.15,921,2618,0.5674,0.0,0.0,-0.3874,0.0087,0.8315352272436526,0.00821917808219178,inf,inf,0.125
15,SPX,1172.53,SPXW110812P00980000,,put,2011-08-12,2011-08-09,980.0,0.35,0.05,1.65,280,0,0.5674,0.0,0.0,-0.6105,0.0138,0.8357995104602868,0.00821917808219178,inf,inf,0.85
