,UnderlyingSymbol,UnderlyingPrice,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,m,tau,InterestR,ForwardP,Mid
0,SPX,1417.26,SPXW121123P01280000,,put,2012-11-23,2012-11-05,1280.0,1.35,1.05,1.25,10,133,0.2586,-0.0355,0.001,-67.4891,24.1158,0.9031511508121305,0.049315068493150684,0.003434706625819184,1417.500079788626,1.15
1,SPX,1417.26,SPXW121123P01285000,,put,2012-11-23,2012-11-05,1285.0,1.55,1.15,1.4,9,89,0.2552,-0.0393,0.0011,-72.4569,26.2129,0.9066790849949904,0.049315068493150684,0.0021577224669812115,1417.410816153717,1.275
2,SPX,1417.26,SPXW121123P01290000,,put,2012-11-23,2012-11-05,1290.0,1.65,1.35,1.5,25,132,0.2523,-0.0438,0.0012,-78.3314,28.6377,0.9102070191778502,0.049315068493150684,0.0011038264724498315,1417.3371510420807,1.425
3,SPX,1417.26,SPXW121123P01295000,,put,2012-11-23,2012-11-05,1295.0,1.85,1.45,1.6,9,34,0.247,-0.0473,0.0013,-81.6359,30.4539,0.9137349533607101,0.049315068493150684,-0.0005833699593662221,1417.2192275334655,1.525
4,SPX,1417.26,SPXW121123P01300000,,put,2012-11-23,2012-11-05,1300.0,1.95,1.6,1.8,10,229,0.2437,-0.0525,0.0014,-87.6395,33.1014,0.91726288754357,0.049315068493150684,-0.0019286240768033487,1417.1252104876662,1.7000000000000002
5,SPX,1417.26,SPXW121123P01310000,,put,2012-11-23,2012-11-05,1310.0,2.4,2.0,2.15,15,28,0.2362,-0.064,0.0017,-99.4806,38.6755,0.9243187559092898,0.049315068493150684,-0.004840190669744726,1416.9217484386022,2.075
6,SPX,1417.26,SPXW121123P01320000,,put,2012-11-23,2012-11-05,1320.0,3.0,2.5,2.6,3,86,0.2289,-0.0783,0.0021,-112.8719,45.1594,0.9313746242750095,0.049315068493150684,-0.007650757122383899,1416.7253720503709,2.55
7,SPX,1417.26,SPXW121123P01325000,,put,2012-11-23,2012-11-05,1325.0,3.0,2.75,2.9,1200,2322,0.2252,-0.0866,0.0023,-119.9709,48.7151,0.9349025584578694,0.049315068493150684,-0.00912462710926469,1416.6224025265092,2.825
8,SPX,1417.26,SPXW121123P01330000,,put,2012-11-23,2012-11-05,1330.0,3.7,3.1,3.3,2,816,0.2227,-0.097,0.0025,-129.1814,52.9627,0.9384304926407293,0.049315068493150684,-0.010857629622777613,1416.5013387044407,3.2
9,SPX,1417.26,SPXW121123P01335000,,put,2012-11-23,2012-11-05,1335.0,3.59,3.4,3.6,4,162,0.218,-0.1062,0.0027,-135.3548,56.587,0.9419584268235892,0.049315068493150684,-0.012115204445323676,1416.4134937145811,3.5
10,SPX,1417.26,SPXW121123P01340000,,put,2012-11-23,2012-11-05,1340.0,4.0,3.8,4.1,14,255,0.2153,-0.1185,0.003,-144.8505,61.2055,0.9454863610064491,0.049315068493150684,-0.01339578603015851,1416.3240472385385,3.9499999999999997
11,SPX,1417.26,SPXW121123P01345000,,put,2012-11-23,2012-11-05,1345.0,5.3,4.3,4.5,8,27,0.2118,-0.1312,0.0033,-153.331,65.7258,0.9490142951893089,0.049315068493150684,-0.014688038196405392,1416.2337913179497,4.4
12,SPX,1417.26,SPXW121123P01350000,,put,2012-11-23,2012-11-05,1350.0,4.93,4.8,5.0,88,2935,0.2082,-0.1452,0.0035,-161.8143,70.4048,0.9525422293721688,0.049315068493150684,-0.01638461314640194,1416.115304652997,4.9
13,SPX,1417.26,SPXW121123P01355000,,put,2012-11-23,2012-11-05,1355.0,6.4,5.4,5.6,20,50,0.2052,-0.1612,0.0039,-171.3478,75.4644,0.9560701635550287,0.049315068493150684,-0.017646059920500164,1416.0272132190896,5.5
14,SPX,1417.26,SPXW121123P01360000,,put,2012-11-23,2012-11-05,1360.0,5.7,6.0,6.2,30,131,0.2013,-0.1778,0.0042,-179.4605,80.3515,0.9595980977378886,0.049315068493150684,-0.019149838638559236,1415.9222060207667,6.1
