,UnderlyingSymbol,UnderlyingPrice,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,m,tau,InterestR,ForwardP,Mid
0,SPX,913.31,SYG021221P00600000,,put,2002-12-21,2002-11-26,600.0,0.05,0.0,0.0,200,8169,0.3747,0.0,0.0,-0.0184,0.0065,0.6569510899913502,0.0684931506849315,inf,inf,0.0
1,SPX,913.31,SYG021221P00650000,,put,2002-12-21,2002-11-26,650.0,0.1,0.05,0.2,7,19388,0.4878,-0.003,0.0001,-7.8432,2.1283,0.711697014157296,0.0684931506849315,0.037059798307077216,915.6312382538308,0.125
2,SPX,913.31,SYG021221P00675000,,put,2002-12-21,2002-11-26,675.0,0.15,0.1,0.2,11,10457,0.4522,-0.0042,0.0001,-9.9503,2.9102,0.7390699762402689,0.0684931506849315,0.03711490456998237,915.6346942203351,0.15000000000000002
3,SPX,913.31,SPZ021221C00700000,,call,2002-12-21,2002-11-26,700.0,220.1,210.7,212.7,1100,8887,0.3176,0.9971,0.0,21.6104,0.4514,0.7664429383232418,0.0684931506849315,-0.585930439502717,877.382585824129,211.7
4,SPX,913.31,SPZ021221P00700000,,put,2002-12-21,2002-11-26,700.0,0.3,0.1,0.3,1356,31925,0.413,-0.0056,0.0002,-11.8261,3.783,0.7664429383232418,0.0684931506849315,0.03380053833412741,915.426858310766,0.2
5,SPX,913.31,SPZ021221P00725000,,put,2002-12-21,2002-11-26,725.0,0.4,0.3,0.45,1630,19658,0.3979,-0.0111,0.0003,-20.8026,6.899,0.7938159004062149,0.0684931506849315,0.026629667839999815,914.9773517601337,0.375
6,SPX,913.31,SPZ021221P00740000,,put,2002-12-21,2002-11-26,740.0,0.6,0.5,0.75,530,138,0.3945,-0.0177,0.0005,-30.7854,10.2899,0.8102396776559986,0.0684931506849315,0.021137481439984535,914.6332229177683,0.625
7,SPX,913.31,SPZ021221C00750000,,call,2002-12-21,2002-11-26,750.0,170.0,161.3,163.3,5,1826,0.3176,0.99,0.0003,10.0418,4.9503,0.8211888624891878,0.0684931506849315,-0.10353179560039624,906.856427777609,162.3
8,SPX,913.31,SPZ021221P00750000,,put,2002-12-21,2002-11-26,750.0,1.0,0.7,1.0,2194,42784,0.3915,-0.0235,0.0006,-38.8631,13.0819,0.8211888624891878,0.0684931506849315,0.01847740010453669,914.4665943468394,0.85
9,SPX,913.31,SPZ021221P00775000,,put,2002-12-21,2002-11-26,775.0,1.15,1.3,1.8,1435,26146,0.3742,-0.0414,0.001,-59.4676,20.906,0.8485618245721607,0.0684931506849315,0.012740498354303076,914.1073358247348,1.55
10,SPX,913.31,SPZ021221P00780000,,put,2002-12-21,2002-11-26,780.0,1.3,1.4,1.6,10,3927,0.3602,-0.0419,0.0011,-57.8201,21.105,0.8540364169887552,0.0684931506849315,0.011250053567908508,914.0140237032678,1.5
11,SPX,913.31,SPZ021221P00790000,,put,2002-12-21,2002-11-26,790.0,1.5,1.7,2.0,130,4054,0.3508,-0.0514,0.0013,-66.3146,24.8305,0.8649856018219444,0.0684931506849315,0.007624758211956781,913.7870949747369,1.85
12,SPX,913.31,SPX021221C00800000,,call,2002-12-21,2002-11-26,800.0,117.0,112.8,114.8,1,18727,0.3229,0.9444,0.0014,-41.6213,25.5448,0.8759347866551336,0.0684931506849315,-0.020878116848508904,912.0048927697812,113.8
13,SPX,913.31,SPX021221P00800000,,put,2002-12-21,2002-11-26,800.0,2.2,2.1,2.5,1403,46305,0.3422,-0.0632,0.0015,-76.2695,29.2446,0.8759347866551336,0.0684931506849315,0.006001160933650197,913.6854826630871,2.3
