,UnderlyingSymbol,UnderlyingPrice,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,m,tau,InterestR,ForwardP,Mid
0,SPX,1140.53,SPQ040521C01050000,,call,2004-05-21,2004-04-07,1050.0,92.9,95.4,97.4,2,261,0.2046,0.8903,0.0023,-74.3544,73.7427,0.920624621886316,0.12054794520547946,0.01672752837689365,1142.8321639284711,96.4
1,SPX,1140.53,SPQ040521P01050000,,put,2004-05-21,2004-04-07,1050.0,3.9,3.9,4.3,1947,15524,0.2007,-0.1055,0.0023,-59.1524,71.7138,0.920624621886316,0.12054794520547946,0.01684176652657862,1142.8479021776584,4.1
2,SPX,1140.53,SPQ040521C01075000,,call,2004-05-21,2004-04-07,1075.0,69.4,72.6,74.6,240,392,0.186,0.8357,0.0034,-86.539,97.2638,0.9425442557407522,0.12054794520547946,0.015199253031658803,1142.621638834854,73.6
3,SPX,1140.53,SPQ040521P01075000,,put,2004-05-21,2004-04-07,1075.0,6.1,6.1,6.6,2018,13295,0.1839,-0.1617,0.0034,-72.3191,96.2723,0.9425442557407522,0.12054794520547946,0.015270632255567865,1142.631470700757,6.35
4,SPX,1140.53,SPT040521C01100000,,call,2004-05-21,2004-04-07,1100.0,51.0,51.2,53.2,260,3559,0.1686,0.7505,0.0048,-98.0413,124.7583,0.9644638895951883,0.12054794520547946,0.013929448074549128,1142.4467484087843,52.2
5,SPX,1140.53,SPT040521P01100000,,put,2004-05-21,2004-04-07,1100.0,10.0,10.0,10.1,1946,21271,0.1678,-0.2486,0.0048,-84.5366,124.5096,0.9644638895951883,0.12054794520547946,0.013877807117907263,1142.4396364586141,10.05
6,SPX,1140.53,SPT040521P01110000,,put,2004-05-21,2004-04-07,1110.0,10.4,10.9,12.5,479,3762,0.1583,-0.291,0.0055,-85.7905,134.7457,0.9732317431369627,0.12054794520547946,0.013365026199610941,1142.369019093783,11.7
7,SPX,1140.53,SPT040521C01115000,,call,2004-05-21,2004-04-07,1115.0,41.6,39.5,41.5,2,6,0.1596,0.6789,0.0057,-103.2309,140.7395,0.9776156699078499,0.12054794520547946,0.013043475042883551,1142.3247390656911,40.5
8,SPX,1140.53,SPT040521P01115000,,put,2004-05-21,2004-04-07,1115.0,14.4,12.1,13.7,285,3775,0.1553,-0.3171,0.0058,-87.1547,139.9897,0.9776156699078499,0.12054794520547946,0.012975295220915088,1142.315350408704,12.899999999999999
9,SPX,1140.53,SPT040521P01120000,,put,2004-05-21,2004-04-07,1120.0,16.3,13.4,15.0,4933,985,0.1521,-0.3448,0.0062,-87.9334,144.7548,0.9819995966787372,0.12054794520547946,0.012717592464953768,1142.279864319315,14.2
10,SPX,1140.53,SPT040521C01125000,,call,2004-05-21,2004-04-07,1125.0,35.0,32.3,34.3,383,13630,0.1532,0.6227,0.0063,-104.2932,149.3018,0.9863835234496243,0.12054794520547946,0.01245787462036419,1142.2441018642794,33.3
11,SPX,1140.53,SPT040521P01125000,,put,2004-05-21,2004-04-07,1125.0,15.2,14.9,16.5,191,10441,0.1495,-0.3749,0.0065,-88.5988,148.9982,0.9863835234496243,0.12054794520547946,0.012409579419572181,1142.2374518673,15.7
12,SPX,1140.53,SPT040521P01130000,,put,2004-05-21,2004-04-07,1130.0,18.0,16.5,18.1,13,300,0.1465,-0.4065,0.0067,-88.4014,152.4472,0.9907674502205115,0.12054794520547946,0.012139670860747598,1142.2002875808496,17.3
13,SPX,1140.53,SPT040521C01140000,,call,2004-05-21,2004-04-07,1140.0,21.8,22.7,24.7,187,648,0.1445,0.5248,0.007,-101.9871,156.4729,0.9995353037622859,0.12054794520547946,0.01159277183177915,1142.1249875917085,23.7
